lineage_ID,type,value
1.0,outsider,0.0
1.0,end,18.0
1.0,end,28.0
1.0,end,37.0
1.0,end,50.0
1.0,end,63.0
1.0,end,74.0
1.0,end,85.0
1.0,end,97.0
1.0,end,9.0
1.0,end,119.0
1.0,end,140.0
1.0,end,151.0
1.0,end,164.0
1.0,end,175.0
1.0,end,187.0
1.0,end,196.0
1.0,end,205.0
1.0,end,217.0
1.0,end,133.0
1.0,start,206.0
1.0,end,107.0
1.0,start,188.0
1.0,start,197.0
1.0,outsider,9.0
1.0,start,0.0
1.0,start,10.0
1.0,start,19.0
1.0,start,29.0
1.0,start,51.0
1.0,start,64.0
1.0,start,75.0
1.0,start,38.0
1.0,start,165.0
1.0,start,98.0
1.0,start,108.0
1.0,start,120.0
1.0,start,134.0
1.0,start,141.0
1.0,start,152.0
1.0,start,86.0
1.0,start,176.0
2.0,end,85.0
2.0,end,73.0
2.0,end,63.0
2.0,end,18.0
2.0,end,39.0
2.0,end,29.0
2.0,end,96.0
2.0,end,50.0
2.0,end,106.0
2.0,end,217.0
2.0,end,127.0
2.0,end,140.0
2.0,end,152.0
2.0,end,163.0
2.0,end,175.0
2.0,end,185.0
2.0,end,195.0
2.0,end,206.0
2.0,end,9.0
2.0,end,116.0
2.0,start,207.0
2.0,start,74.0
2.0,start,186.0
2.0,start,196.0
2.0,outsider,9.0
2.0,start,0.0
2.0,start,10.0
2.0,start,19.0
2.0,start,30.0
2.0,start,40.0
2.0,start,51.0
2.0,start,64.0
2.0,outsider,0.0
2.0,start,86.0
2.0,start,164.0
2.0,start,153.0
2.0,start,141.0
2.0,start,176.0
2.0,start,117.0
2.0,start,107.0
2.0,start,97.0
2.0,start,128.0
3.0,end,97.0
3.0,end,20.0
3.0,end,30.0
3.0,end,42.0
3.0,end,53.0
3.0,end,65.0
3.0,end,74.0
3.0,end,87.0
3.0,end,110.0
3.0,end,161.0
3.0,end,135.0
3.0,end,148.0
3.0,end,8.0
3.0,end,174.0
3.0,end,186.0
3.0,end,196.0
