value,type,lineage_ID
0,outsider,1
931,end,1
949,end,1
976,end,1
985,end,1
1006,end,1
1032,end,1
1052,end,1
1090,end,1
909,end,1
1108,end,1
1157,end,1
1176,end,1
1197,end,1
1217,end,1
1236,end,1
1259,end,1
1279,end,1
1301,end,1
1134,end,1
1314,end,1
885,end,1
847,end,1
465,end,1
486,end,1
493,end,1
519,end,1
542,end,1
569,end,1
587,end,1
607,end,1
866,end,1
629,end,1
670,end,1
691,end,1
711,end,1
733,end,1
758,end,1
779,end,1
803,end,1
823,end,1
650,end,1
1356,end,1
1375,end,1
1378.0,rises,1
1359.0,rises,1
1388.0,rises,1
1358.0,rises,1
1385.0,rises,1
1384.0,rises,1
1372,singularities,1
1384,singularities,1
1390,singularities,1
1389.0,rises,1
1373,singularities,1
1415,singularities,1
1418,singularities,1
1383,non_positives,1
1387,non_positives,1
1389,non_positives,1
1391,non_positives,1
1393,non_positives,1
1394,non_positives,1
1385,singularities,1
1360.0,rises,1
1391.0,rises,1
1362.0,rises,1
1382.0,rises,1
1390.0,rises,1
1406.0,rises,1
1409.0,rises,1
1411.0,rises,1
1415.0,rises,1
1418.0,rises,1
1362.0,rises,1
1378.0,rises,1
1385.0,rises,1
1404.0,rises,1
1405.0,rises,1
1409.0,rises,1
1412.0,rises,1
1362.0,rises,1
1384.0,rises,1
1399.0,rises,1
1362.0,rises,1
1395.0,rises,1
450,end,1
420,end,1
1361.0,rises,1
371,end,1
350,start,1
372,start,1
391,start,1
421,start,1
451,start,1
466,start,1
487,start,1
494,start,1
328,start,1
520,start,1
570,start,1
588,start,1
608,start,1
630,start,1
651,start,1
671,start,1
692,start,1
712,start,1
543,start,1
291,start,1
270,start,1
258,start,1
390,end,1
220,outsider,1
1315,outsider,1
1357,outsider,1
31,outsider,1
257,outsider,1
1356,outsider,1
1375,outsider,1
0,start,1
32,start,1
49,start,1
72,start,1
87,start,1
107,start,1
132,start,1
162,start,1
176,start,1
196,start,1
220,start,1
734,start,1
759,start,1
307,start,1
106,end,1
1280,start,1
1302,start,1
1357,start,1
31,end,1
48,end,1
71,end,1
86,end,1
131,end,1
161,end,1
175,end,1
195,end,1
219,end,1
257,end,1
269,end,1
290,end,1
306,end,1
327,end,1
780,start,1
349,end,1
1260,start,1
1237,start,1
1315,start,1
1218,start,1
804,start,1
824,start,1
848,start,1
867,start,1
886,start,1
910,start,1
932,start,1
977,start,1
986,start,1
1007,start,1
950,start,1
1177,start,1
1053,start,1
1091,start,1
1109,start,1
1135,start,1
1158,start,1
1033,start,1
1198,start,1
1213,end,2
1236,end,2
1251,end,2
1268,end,2
1336,end,2
1308,end,2
1193,end,2
1354,end,2
1293,end,2
1178,end,2
1831,end,2
1130,end,2
1107,end,2
1088,end,2
1064,end,2
1044,end,2
1022,end,2
1004,end,2
1373,end,2
987,end,2
1152,end,2
1395,end,2
1813,end,2
1443,end,2
955,end,2
1791,end,2
1778,end,2
1760,end,2
1743,end,2
1718,end,2
1697,end,2
1676,end,2
1659,end,2
1635,end,2
1621,end,2
1598,end,2
1576,end,2
1564,end,2
1538,end,2
1514,end,2
1495,end,2
1474,end,2
1458,end,2
1416,end,2
931,end,2
3796,start,2
890,end,2
347,end,2
325,end,2
303,end,2
282,end,2
263,end,2
238,end,2
214,end,2
197,end,2
173,end,2
151,end,2
133,end,2
119,end,2
102,end,2
72,end,2
53,end,2
36,end,2
6,end,2
3666,start,2
1855,end,2
367,end,2
385,end,2
402,end,2
424,end,2
872,end,2
849,end,2
825,end,2
803,end,2
785,end,2
769,end,2
743,end,2
722,end,2
707,end,2
912,end,2
685,end,2
641,end,2
615,end,2
603,end,2
573,end,2
535,end,2
509,end,2
493,end,2
470,end,2
447,end,2
663,end,2
1882,end,2
3795,end,2
1930,end,2
3270,end,2
3252,end,2
3233,end,2
3215,end,2
3194,end,2
3172,end,2
3155,end,2
3133,end,2
3112,end,2
3086,end,2
3065,end,2
3048,end,2
3024,end,2
3004,end,2
2987,end,2
2963,end,2
2937,end,2
2914,end,2
2894,end,2
3289,end,2
3310,end,2
3336,end,2
3352,end,2
3735,singularities,2
1676,singularities,2
941,singularities,2
3806,end,2
3640,start,2
3665,end,2
3639,end,2
3619,end,2
3592,end,2
2871,end,2
3574,end,2
3537,end,2
3516,end,2
3494,end,2
3476,end,2
3462,end,2
3446,end,2
3418,end,2
3393,end,2
3375,end,2
3557,end,2
1900,end,2
2850,end,2
2814,end,2
2310,end,2
2286,end,2
2267,end,2
2248,end,2
2225,end,2
2204,end,2
2182,end,2
2163,end,2
2147,end,2
2118,end,2
2101,end,2
2076,end,2
2060,end,2
2037,end,2
2011,end,2
1991,end,2
1976,end,2
1952,end,2
1935,end,2
2330,end,2
2347,end,2
2366,end,2
2385,end,2
2789,end,2
2765,end,2
2748,end,2
2724,end,2
2696,end,2
2680,end,2
2664,end,2
2641,end,2
2618,end,2
2828,end,2
2601,end,2
2561,end,2
2540,end,2
2516,end,2
2497,end,2
2486,end,2
2469,end,2
2446,end,2
2423,end,2
2403,end,2
2578,end,2
3620,start,2
554,end,2
3575,start,2
1153,start,2
1131,start,2
1108,start,2
1089,start,2
1065,start,2
1045,start,2
1023,start,2
1005,start,2
988,start,2
956,start,2
932,start,2
913,start,2
891,start,2
873,start,2
850,start,2
826,start,2
804,start,2
786,start,2
770,start,2
1179,start,2
1194,start,2
1214,start,2
1237,start,2
1636,start,2
1622,start,2
1599,start,2
1577,start,2
1565,start,2
1539,start,2
1515,start,2
1496,start,2
1475,start,2
744,start,2
1459,start,2
1417,start,2
1396,start,2
1374,start,2
1355,start,2
1337,start,2
1309,start,2
1294,start,2
1269,start,2
1252,start,2
1444,start,2
1660,start,2
723,start,2
686,start,2
134,start,2
120,start,2
103,start,2
73,start,2
54,start,2
37,start,2
7,start,2
0,start,2
3806,outsider,2
3795,outsider,2
1935,outsider,2
1930,outsider,2
6,outsider,2
3796,outsider,2
3666,outsider,2
1931,outsider,2
1901,outsider,2
0,outsider,2
3593,start,2
152,start,2
174,start,2
198,start,2
215,start,2
664,start,2
642,start,2
616,start,2
604,start,2
574,start,2
555,start,2
536,start,2
510,start,2
471,start,2
708,start,2
448,start,2
403,start,2
386,start,2
368,start,2
348,start,2
326,start,2
304,start,2
283,start,2
264,start,2
239,start,2
425,start,2
1678,start,2
494,start,2
1719,start,2
3066,start,2
3049,start,2
3025,start,2
3005,start,2
2988,start,2
2964,start,2
