value,type,lineage_ID
0,outsider,1
574,end,1
602,end,1
636,end,1
666,end,1
694,end,1
726,end,1
548,end,1
756,end,1
820,end,1
849,end,1
876,end,1
914,end,1
946,end,1
971,end,1
795,end,1
511,end,1
481,end,1
453,end,1
2081,start,1
2118,start,1
32,end,1
58,end,1
84,end,1
120,end,1
143,end,1
165,end,1
206,end,1
242,end,1
282,end,1
314,end,1
355,end,1
382,end,1
414,end,1
1006,end,1
2050,start,1
1072,end,1
1138,end,1
1731,end,1
1764,end,1
1801,end,1
1827,end,1
1864,end,1
1895,end,1
1702,end,1
1921,end,1
1984,end,1
2017,end,1
2049,end,1
2080,end,1
2117,end,1
2145,end,1
1955,end,1
1669,end,1
1638,end,1
1611,end,1
1170,end,1
1194,end,1
1223,end,1
1278,end,1
1302,end,1
1320,end,1
1357,end,1
1374,end,1
1399,end,1
1423,end,1
1450,end,1
1486,end,1
1515,end,1
1544,end,1
1574,end,1
1104,end,1
2018,start,1
1037,end,1
1956,start,1
383,start,1
415,start,1
454,start,1
482,start,1
512,start,1
549,start,1
315,start,1
575,start,1
637,start,1
667,start,1
695,start,1
727,start,1
757,start,1
796,start,1
603,start,1
283,start,1
243,start,1
207,start,1
1985,start,1
1224,outsider,1
1321,outsider,1
1358,outsider,1
32,outsider,1
1278,outsider,1
1357,outsider,1
1374,outsider,1
0,start,1
33,start,1
59,start,1
85,start,1
121,start,1
144,start,1
166,start,1
821,start,1
850,start,1
356,start,1
1896,start,1
1451,start,1
1487,start,1
1516,start,1
1545,start,1
1575,start,1
1639,start,1
1670,start,1
1703,start,1
1732,start,1
1765,start,1
1802,start,1
1828,start,1
1865,start,1
877,start,1
1922,start,1
1424,start,1
1400,start,1
1612,start,1
947,start,1
915,start,1
1375,start,1
972,start,1
1007,start,1
1038,start,1
1105,start,1
1139,start,1
1073,start,1
1195,start,1
1224,start,1
1279,start,1
1303,start,1
1321,start,1
1358,start,1
1171,start,1
559,end,2
736,end,2
588,end,2
626,end,2
656,end,2
703,end,2
759,end,2
978,end,2
816,end,2
850,end,2
881,end,2
916,end,2
947,end,2
527,end,2
780,end,2
502,end,2
2129,start,2
464,end,2
1013,end,2
2167,start,2
30,end,2
61,end,2
89,end,2
117,end,2
146,end,2
180,end,2
211,end,2
245,end,2
278,end,2
315,end,2
344,end,2
371,end,2
406,end,2
482,end,2
1048,end,2
2200,end,2
1106,end,2
1736,end,2
1767,end,2
1792,end,2
1826,end,2
1866,end,2
1896,end,2
1925,end,2
1956,end,2
1996,end,2
2034,end,2
2061,end,2
2090,end,2
2128,end,2
2166,end,2
2091,start,2
1713,end,2
1074,end,2
1695,end,2
1616,end,2
1135,end,2
1177,end,2
1204,end,2
1229,end,2
1259,end,2
1301,end,2
1326,end,2
1358,end,2
1394,end,2
1424,end,2
1452,end,2
1479,end,2
1509,end,2
1546,end,2
1581,end,2
1648,end,2
2062,start,2
851,start,2
1997,start,2
345,start,2
372,start,2
407,start,2
465,start,2
483,start,2
503,start,2
316,start,2
528,start,2
589,start,2
627,start,2
657,start,2
704,start,2
737,start,2
760,start,2
560,start,2
279,start,2
246,start,2
212,start,2
2035,start,2
407,outsider,2
465,outsider,2
1649,outsider,2
30,outsider,2
464,outsider,2
482,outsider,2
1695,outsider,2
0,start,2
31,start,2
62,start,2
90,start,2
118,start,2
147,start,2
181,start,2
781,start,2
817,start,2
0,outsider,2
882,start,2
1510,start,2
1547,start,2
1582,start,2
1617,start,2
1649,start,2
1696,start,2
1480,start,2
1714,start,2
1768,start,2
1793,start,2
1827,start,2
1867,start,2
1897,start,2
1926,start,2
1737,start,2
1453,start,2
1957,start,2
1395,start,2
917,start,2
948,start,2
979,start,2
1014,start,2
1425,start,2
1075,start,2
1107,start,2
1049,start,2
1178,start,2
1205,start,2
1230,start,2
1260,start,2
1302,start,2
1327,start,2
1359,start,2
1136,start,2
604,end,3
638,end,3
662,end,3
699,end,3
731,end,3
764,end,3
1020,end,3
828,end,3
861,end,3
899,end,3
935,end,3
961,end,3
989,end,3
569,end,3
795,end,3
539,end,3
244,end,3
479,end,3
1052,end,3
2161,start,3
28,end,3
58,end,3
89,end,3
127,end,3
152,end,3
183,end,3
209,end,3
281,end,3
316,end,3
350,end,3
374,end,3
407,end,3
445,end,3
512,end,3
1078,end,3
1622,end,3
1148,end,3
1774,end,3
1829,end,3
1852,end,3
1876,end,3
1910,end,3
1942,end,3
1746,end,3
1980,end,3
2037,end,3
2070,end,3
2100,end,3
2129,end,3
2160,end,3
2191,end,3
2007,end,3
1713,end,3
1684,end,3
1661,end,3
1179,end,3
1211,end,3
1246,end,3
1272,end,3
1300,end,3
1339,end,3
1370,end,3
1401,end,3
1434,end,3
1462,end,3
1500,end,3
1530,end,3
1563,end,3
1596,end,3
2130,start,3
1115,end,3
2101,start,3
962,start,3
2038,start,3
408,start,3
446,start,3
480,start,3
513,start,3
540,start,3
570,start,3
375,start,3
605,start,3
663,start,3
700,start,3
732,start,3
765,start,3
796,start,3
829,start,3
639,start,3
351,start,3
317,start,3
282,start,3
0,outsider,3
1775,outsider,3
1830,outsider,3
28,outsider,3
1829,outsider,3
1852,outsider,3
0,start,3
29,start,3
59,start,3
90,start,3
128,start,3
153,start,3
184,start,3
210,start,3
245,start,3
862,start,3
900,start,3
2071,start,3
1747,start,3
1564,start,3
1623,start,3
1662,start,3
1685,start,3
1714,start,3
936,start,3
1531,start,3
1775,start,3
1853,start,3
1877,start,3
1911,start,3
1943,start,3
1981,start,3
2008,start,3
1830,start,3
1501,start,3
1597,start,3
1435,start,3
990,start,3
1021,start,3
1053,start,3
1079,start,3
1463,start,3
1149,start,3
1180,start,3
1116,start,3
1247,start,3
1273,start,3
1301,start,3
1340,start,3
1371,start,3
1402,start,3
1212,start,3
698,end,4
540,end,4
566,end,4
606,end,4
644,end,4
671,end,4
731,end,4
2261,end,4
805,end,4
837,end,4
874,end,4
905,end,4
932,end,4
983,end,4
502,end,4
764,end,4
464,end,4
2128,start,4
390,end,4
2087,start,4
1010,end,4
2166,start,4
2197,start,4
