value,type,lineage_ID
0,outsider,1
480,end,1
472,end,1
465,end,1
458,end,1
451,end,1
442,end,1
436,end,1
430,end,1
421,end,1
414,end,1
487,end,1
407,end,1
393,end,1
387,end,1
379,end,1
371,end,1
365,end,1
357,end,1
349,end,1
342,end,1
334,end,1
327,end,1
400,end,1
497,end,1
502,end,1
510,end,1
676,end,1
668,end,1
663,end,1
658,end,1
649,end,1
643,end,1
635,end,1
628,end,1
623,end,1
613,end,1
606,end,1
599,end,1
592,end,1
587,end,1
579,end,1
571,end,1
562,end,1
554,end,1
547,end,1
540,end,1
534,end,1
525,end,1
518,end,1
320,end,1
311,end,1
303,end,1
296,end,1
101,end,1
93,end,1
87,end,1
78,end,1
70,end,1
65,end,1
57,end,1
46,end,1
38,end,1
34,end,1
27,end,1
17,end,1
7,end,1
1387,start,1
1379,start,1
1372,start,1
1367,start,1
1358,start,1
1354,start,1
1352,start,1
1347,start,1
1339,start,1
1332,start,1
108,end,1
684,end,1
113,end,1
130,end,1
287,end,1
281,end,1
273,end,1
267,end,1
261,end,1
253,end,1
248,end,1
238,end,1
231,end,1
226,end,1
218,end,1
216,end,1
211,end,1
204,end,1
197,end,1
191,end,1
186,end,1
180,end,1
173,end,1
163,end,1
155,end,1
147,end,1
140,end,1
123,end,1
1324,start,1
691,end,1
704,end,1
1246,end,1
1236,end,1
1231,end,1
1223,end,1
1215,end,1
1206,end,1
1199,end,1
1190,end,1
1185,end,1
1179,end,1
1255,end,1
1171,end,1
1157,end,1
1150,end,1
1141,end,1
1133,end,1
1128,end,1
1125,end,1
1120,end,1
1111,end,1
1106,end,1
1098,end,1
1165,end,1
1263,end,1
1273,end,1
1277,end,1
1367,singularities,1
1099,singularities,1
1379,singularities,1
390,singularities,1
1394,end,1
1386,end,1
1378,end,1
1371,end,1
1366,end,1
1357,end,1
1353,end,1
1351,end,1
1346,end,1
1338,end,1
1331,end,1
1323,end,1
1317,end,1
1308,end,1
1301,end,1
1292,end,1
1289,end,1
1287,end,1
1285,end,1
1090,end,1
1088,end,1
1081,end,1
1075,end,1
864,end,1
856,end,1
848,end,1
840,end,1
834,end,1
826,end,1
819,end,1
812,end,1
804,end,1
796,end,1
790,end,1
785,end,1
778,end,1
770,end,1
763,end,1
755,end,1
747,end,1
739,end,1
732,end,1
725,end,1
717,end,1
710,end,1
707,end,1
879,end,1
696,end,1
886,end,1
900,end,1
1068,end,1
1059,end,1
1053,end,1
1047,end,1
1038,end,1
1031,end,1
1025,end,1
1016,end,1
1008,end,1
1000,end,1
994,end,1
989,end,1
978,end,1
970,end,1
964,end,1
956,end,1
948,end,1
942,end,1
936,end,1
926,end,1
921,end,1
915,end,1
909,end,1
893,end,1
1318,start,1
870,end,1
1302,start,1
350,start,1
343,start,1
335,start,1
328,start,1
321,start,1
312,start,1
304,start,1
297,start,1
288,start,1
282,start,1
358,start,1
274,start,1
262,start,1
254,start,1
249,start,1
239,start,1
232,start,1
227,start,1
219,start,1
217,start,1
212,start,1
205,start,1
268,start,1
366,start,1
372,start,1
380,start,1
548,start,1
541,start,1
535,start,1
526,start,1
519,start,1
511,start,1
503,start,1
498,start,1
488,start,1
481,start,1
473,start,1
466,start,1
459,start,1
452,start,1
443,start,1
437,start,1
431,start,1
422,start,1
415,start,1
408,start,1
401,start,1
394,start,1
388,start,1
198,start,1
192,start,1
187,start,1
181,start,1
1098,outsider,1
1090,outsider,1
710,outsider,1
658,outsider,1
502,outsider,1
497,outsider,1
248,outsider,1
218,outsider,1
7,outsider,1
1354,outsider,1
1290,outsider,1
1288,outsider,1
1286,outsider,1
1126,outsider,1
1091,outsider,1
