dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,5.0,[ 5  9 13],"[0.48697201664385764, 0.6360937959080586, 0.6854783381803725]",[0.49399694 0.61285565 0.70135266],$r$,dfa (short)
Shuffled,5.0,[ 5  9 13],"[0.5246965969868868, 0.6977429986978652, 0.802175024975668]",[0.52786678 0.68690668 0.80993618],$r$,dfa (short)
Trace,6.0,[ 5  9 13],"[0.2897482203266255, 0.49552458480564876, 0.6647382465015774]",[0.29163843 0.48722242 0.67168342],$r$,dfa (short)
Shuffled,6.0,[ 5  9 13],"[0.4575830479616721, 0.618759907509742, 0.7790349857361156]",[0.45464359 0.62920886 0.77105109],$r$,dfa (short)
Trace,19.0,[ 5  9 13],"[0.49825722665177863, 0.6353644191981908, 0.735760839513021]",[0.4986722  0.63399146 0.73674058],$r$,dfa (short)
Shuffled,19.0,[ 5  9 13],"[0.5319644007490022, 0.6456325259939848, 0.6729839868082024]",[0.53857712 0.6252359  0.68640572],$r$,dfa (short)
Trace,20.0,[ 5  9 13],"[0.5001349919994669, 0.5901832021348687, 0.6848682631960793]",[0.4966398  0.60103669 0.67723381],$r$,dfa (short)
Shuffled,20.0,[ 5  9 13],"[0.4741559526468165, 0.5765772785897063, 0.654434422701386]",[0.47383915 0.57757949 0.65373564],$r$,dfa (short)
Trace,23.0,[ 5  9 13 17 21],"[0.5140390118428195, 0.6579803835892093, 0.7545613693239273, 0.7952348404575175, 0.816507950965817]",[0.52877812 0.64212325 0.72507905 0.79228259 0.84957569],$r$,dfa (short)
Shuffled,23.0,[ 5  9 13 17 21],"[0.48925276984366506, 0.6412787805295026, 0.6908387287010239, 0.7230085008208601, 0.7655068779625908]",[0.50783596 0.60634028 0.67746044 0.73455326 0.78289269],$r$,dfa (short)
Trace,24.0,[ 5  9 13 17 21],"[0.45581915489849606, 0.6786975011336847, 0.7695668156583612, 0.845791338085264, 0.8809466144437995]",[0.48138702 0.630225   0.74592075 0.84351283 0.92929499],$r$,dfa (short)
Shuffled,24.0,[ 5  9 13 17 21],"[0.5241668612272262, 0.7080369537286432, 0.8729902846545711, 0.9566260458376453, 0.99496132635006]",[0.53558236 0.70309805 0.83359753 0.94383873 1.04084707],$r$,dfa (short)
Trace,41.0,[ 5  9 13 17 21],"[0.43812130703411617, 0.5469430281144338, 0.5966160164039082, 0.6345650319500519, 0.6549661261407715]",[0.44903286 0.52962717 0.58724796 0.63320098 0.67191583],$r$,dfa (short)
Shuffled,41.0,[ 5  9 13 17 21],"[0.4621180792834177, 0.5980862226537206, 0.7205995792225954, 0.7929200930031767, 0.8987706290747707]",[0.46038748 0.60273569 0.71338722 0.80672463 0.88876716],$r$,dfa (short)
Trace,42.0,[ 5  9 13 17 21],"[0.4392044851793834, 0.5899893440719208, 0.6834717597766866, 0.8205564620793495, 0.9106283844701561]",[0.43620883 0.58726004 0.7073252  0.81013313 0.90153115],$r$,dfa (short)
Shuffled,42.0,[ 5  9 13 17 21],"[0.35335012494914614, 0.5819351486824179, 0.8463899822069484, 1.073665480101925, 1.2046126433434228]",[0.3542365  0.59418591 0.82120646 1.03985395 1.25235197],$r$,dfa (short)
Trace,49.0,[ 5  9 13],"[0.5250100866815448, 0.7197826920807914, 0.8005577029965543]",[0.53247525 0.69385437 0.81883035],$r$,dfa (short)
Shuffled,49.0,[ 5  9 13],"[0.5533048791435674, 0.6244845514964854, 0.7335024608306293]",[0.54604249 0.64629637 0.7181739 ],$r$,dfa (short)
Trace,50.0,[ 5  9 13],"[0.6155448008524583, 0.7629635283098539, 0.878700250864656]",[0.61488516 0.76509217 0.87719557],$r$,dfa (short)
Shuffled,50.0,[ 5  9 13],"[0.4533374493453966, 0.7497001058178068, 0.8204275194125261]",[0.46940281 0.68483902 0.86739158],$r$,dfa (short)
Trace,51.0,[ 5  9 13],"[0.5116354687955846, 0.6343641286332642, 0.6390142304346628]",[0.52182931 0.60266452 0.65948618],$r$,dfa (short)
Shuffled,51.0,[ 5  9 13],"[0.4537190471543594, 0.6702382568807402, 0.8670257545942353]",[0.45278059 0.6738539  0.86416101],$r$,dfa (short)
Trace,52.0,[ 5  9 13],"[0.551894475572049, 0.6724092782427256, 0.7437045986885975]",[0.55384832 0.66626288 0.74791759],$r$,dfa (short)
Shuffled,52.0,[ 5  9 13],"[0.4713103168838124, 0.6532198559384915, 0.7969613059968138]",[0.47169821 0.65182499 0.79800999],$r$,dfa (short)
Trace,55.0,[ 5  9 13],"[0.4548517616477632, 0.5426330987630177, 0.6009978356873729]",[0.45543326 0.54083464 0.60222645],$r$,dfa (short)
Shuffled,55.0,[ 5  9 13],"[0.5189708194470877, 0.7009844969936624, 0.855487532938763]",[0.51807791 0.70412813 0.853136  ],$r$,dfa (short)
Trace,56.0,[ 5  9 13],"[0.3219435362045692, 0.6055950149020447, 0.8378074126201818]",[0.32549316 0.58858352 0.85262141],$r$,dfa (short)
Shuffled,56.0,[ 5  9 13],"[0.4123217678237453, 0.5800408143560188, 0.6978973790525065]",[0.41415101 0.57340721 0.70285301],$r$,dfa (short)
Trace,59.0,[ 5  9 13],"[0.5449633490416618, 0.6851334615284638, 0.7118814265901449]",[0.55390161 0.65677455 0.73063621],$r$,dfa (short)
Shuffled,59.0,[ 5  9 13],"[0.5040502979492897, 0.6753568845357724, 0.780478365986247]",[0.5070583  0.6649958  0.78793661],$r$,dfa (short)
Trace,60.0,[ 5  9 13],"[0.5136591092123473, 0.6576194608421863, 0.7731218230998516]",[0.51308245 0.65954171 0.77173493],$r$,dfa (short)
Shuffled,60.0,[ 5  9 13],"[0.4966734819343655, 0.6724206637402393, 0.7651326339871255]",[0.50134494 0.65626112 0.77666806],$r$,dfa (short)
Trace,67.0,[ 5  9 13],"[0.3551919844714843, 0.584602024416867, 0.8568382448093925]",[0.35132456 0.60147142 0.84197426],$r$,dfa (short)
Shuffled,67.0,[ 5  9 13],"[0.36837042615275384, 0.6220137681514601, 0.6942229519883455]",[0.38103198 0.5697227  0.73275497],$r$,dfa (short)
Trace,68.0,[ 5  9 13],"[0.4749599561975286, 0.5059506343925477, 0.5167105058523839]",[0.47632462 0.50219271 0.51908563],$r$,dfa (short)
Shuffled,68.0,[ 5  9 13],"[0.34517167920824093, 0.5126245472980182, 0.6550210017518588]",[0.34529514 0.51214841 0.65539554],$r$,dfa (short)
Trace,69.0,[ 5  9 13 17 21 25],"[0.5387605846723468, 0.6923911413895342, 0.7605794258071672, 0.7848972302165316, 0.803090540843915, 0.8233577975506488]",[0.56736416 0.65930431 0.7242536  0.77563733 0.81866592 0.85596088],$r$,dfa (short)
Shuffled,69.0,[ 5  9 13 17 21 25],"[0.5769438989511868, 0.8029662110679919, 0.8659944281798992, 0.9001087938018042, 0.9425602987988901, 0.994951742148956]",[0.61507178 0.74037791 0.83144264 0.90486723 0.9672406  1.0219301 ],$r$,dfa (short)
Trace,70.0,[ 5  9 13 17 21 25],"[0.47472481863094174, 0.6094489138287278, 0.676032717651091, 0.7100211370749416, 0.7369674348615466, 0.7593071108824756]",[0.49493369 0.58572247 0.65080667 0.70280539 0.74667332 0.78492358],$r$,dfa (short)
Shuffled,70.0,[ 5  9 13 17 21 25],"[0.4734432065895434, 0.7227376266832468, 0.8702843585617409, 0.9792904838208254, 1.0152260758408678, 1.0342572857073307]",[0.51009004 0.68088559 0.81572284 0.93065186 1.03247209 1.12482107],$r$,dfa (short)
Trace,79.0,[ 5  9 13 17],"[0.44075081615104517, 0.6123047498659369, 0.6803568661804291, 0.7112284882355767]",[0.45653952 0.57678576 0.66763099 0.74280919],$r$,dfa (short)
Shuffled,79.0,[ 5  9 13 17],"[0.4569349215500887, 0.771123027353871, 0.9407907279265392, 1.0413595865353296]",[0.47818292 0.71402799 0.91758659 1.10183209],$r$,dfa (short)
Trace,80.0,[ 5  9 13 17],"[0.5283321432891405, 0.6032567281547698, 0.6577357458607497, 0.6943223859700131]",[0.52868037 0.60339259 0.6554117  0.69616866],$r$,dfa (short)
Shuffled,80.0,[ 5  9 13 17],"[0.4831569343308119, 0.6693523373509995, 0.7716933143232159, 0.9362908441097485]",[0.48370984 0.65836331 0.79840385 0.91902083],$r$,dfa (short)
Trace,81.0,[ 5  9 13],"[0.3937399350956777, 0.6300291369143604, 0.7949799035573876]",[0.39751529 0.61459882 0.80719914],$r$,dfa (short)
Shuffled,81.0,[ 5  9 13],"[0.4211590814750833, 0.5316495174537688, 0.5612620877770912]",[0.42718115 0.51239357 0.57414495],$r$,dfa (short)
Trace,82.0,[ 5  9 13],"[0.6080393615081133, 0.6569660664729342, 0.6583198627588154]",[0.61242665 0.64480677 0.66592898],$r$,dfa (short)
Shuffled,82.0,[ 5  9 13],"[0.4183781782940364, 0.6798630570945793, 0.8517191795506662]",[0.42349425 0.6587272  0.86842794],$r$,dfa (short)
Trace,102.0,[ 5  9 13],"[0.382525244713828, 0.6283957472901476, 0.68359522689117]",[0.39619109 0.57361569 0.72304718],$r$,dfa (short)
Shuffled,102.0,[ 5  9 13],"[0.44470138682276045, 0.6056209238214587, 0.6239334922294373]",[0.45611664 0.56702043 0.64973017],$r$,dfa (short)
Trace,111.0,[ 5  9 13 17 21 25],"[0.5585353690389111, 0.7227950399727994, 0.7734215002744105, 0.7971014192550467, 0.8298929539085586, 0.8409947240314914]",[0.58916898 0.68042802 0.74457636 0.79515787 0.83740838 0.87395494],$r$,dfa (short)
Shuffled,111.0,[ 5  9 13 17 21 25],"[0.4552591259669506, 0.6875192829772305, 0.9349609639454326, 1.1451210558793923, 1.2896679043714538, 1.3859290382288367]",[0.4599025  0.6996184  0.90958729 1.10153377 1.28084629 1.45057805],$r$,dfa (short)
Trace,112.0,[ 5  9 13 17 21 25],"[0.4585586282632332, 0.6007137307019936, 0.6780766300708804, 0.6982371420116917, 0.72191627250316, 0.7415525515635717]",[0.4835456  0.57413375 0.6392464  0.6913602  0.7353842  0.77381197],$r$,dfa (short)
Shuffled,112.0,[ 5  9 13 17 21 25],"[0.5347789757031184, 0.656387466703866, 0.7294102587659714, 0.812620593974017, 0.8624585991988014, 0.8810290489320682]",[0.53965434 0.65111531 0.7322704  0.79778726 0.85349602 0.9023793 ],$r$,dfa (short)
