dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  9 13 17 21 25 29 33],"[0.5178238055082964, 0.6466050114551648, 0.7394558830162506, 0.8674789565521676, 0.9281337368965836, 0.9675330318137871, 1.0035089811448772, 1.0341774231597751]","[0.52226848 0.65275256 0.75048468 0.8308948  0.90025449 0.96182273
 1.01754003 1.06866813]",$r$,dfa (short)
Shuffled,1.0,[ 5  9 13 17 21 25 29 33],"[0.4064184897019214, 0.6811447588803607, 0.8381569166282266, 0.9489660412189014, 1.018251974430061, 1.0420982293331422, 1.0360524499715646, 1.0490419119817185]","[0.47287265 0.63020045 0.75424733 0.85988866 0.95341995 1.03820678
 1.116298   1.18905032]",$r$,dfa (short)
Trace,2.0,[ 5  9 13 17 21 25 29 33 37 41 45 49],"[0.4657061218147963, 0.5741532076786732, 0.6522296936249583, 0.7171810878075209, 0.7643257241869519, 0.8127534098187205, 0.8501569349774721, 0.8528266710768696, 0.8439284243933148, 0.8340745174162246, 0.8278328769970121, 0.8244020134776987]","[0.50089169 0.5835213  0.64201129 0.68834737 0.72718869 0.76088199
 0.79079105 0.81778501 0.84245495 0.86522272 0.8864009  0.90622808]",$r$,dfa (short)
Shuffled,2.0,[ 5  9 13 17 21 25 29 33 37 41 45 49],"[0.5124563091532048, 0.7015703064237672, 0.8782270684115898, 1.0129346224058309, 1.1084212161443212, 1.1854734257278068, 1.2589699612873817, 1.3431895082195122, 1.4368663580338408, 1.5334334629643043, 1.6271493229688758, 1.7148770470478816]","[0.5223119  0.70643063 0.85331951 0.97940739 1.09171183 1.1940089
 1.28860905 1.37704865 1.46041097 1.53949399 1.6149057  1.68712209]",$r$,dfa (short)
Trace,3.0,[ 5  9 13 17 21 25],"[0.45559285760743434, 0.6748706398607492, 0.8299239844210645, 0.9386369503329554, 1.0426647320414375, 1.118077301029034]",[0.47165473 0.65410265 0.80259419 0.93178191 1.04802352 1.15477801],$r$,dfa (short)
Shuffled,3.0,[ 5  9 13 17 21 25],"[0.47532393235220166, 0.6251866057777951, 0.7607315876068984, 0.8981817848954659, 1.0115872693636405, 1.125805662772671]",[0.46504259 0.63819454 0.77794619 0.89884754 1.00717046 1.10631151],$r$,dfa (short)
Trace,4.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69],"[0.452888339864495, 0.6858943827234554, 0.7567700625155951, 0.8292700474375211, 0.887236798048709, 0.9275489629130698, 0.9735505949064545, 1.0131855588530552, 1.0399566149341621, 1.0634966028758792, 1.0864490450797601, 1.1037984600505126, 1.121720236893689, 1.1397276760437194, 1.1576758162101197, 1.1767988181331923, 1.1938296700495956]","[0.53043245 0.64243964 0.72424319 0.79041953 0.84677658 0.89629065
 0.94071481 0.98117874 1.01845798 1.05311062 1.08555319 1.11610575
 1.14502018 1.17249866 1.19870624 1.22377957 1.24783328]",$r$,dfa (short)
Shuffled,4.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69],"[0.39764126342285583, 0.5709924488132808, 0.690658682621124, 0.7878553381561467, 0.8969981962525705, 1.0130263497750238, 1.1124535783477272, 1.2049346135665842, 1.2942373571427666, 1.372496184702129, 1.4391708524461457, 1.498778119629522, 1.5510835324808112, 1.5987207901558405, 1.6458607921349306, 1.693121456251538, 1.7378879492424213]","[0.4029577  0.56318276 0.69439506 0.80902532 0.9124934  1.0077581
 1.09665041 1.18039923 1.25987799 1.3357345  1.40846545 1.4784618
 1.54603805 1.61145177 1.67491715 1.73661467 1.79669809]",$r$,dfa (short)
Trace,5.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73],"[0.35687297117043715, 0.5215925111141183, 0.6720653427597693, 0.7815670173733642, 0.8526700124420202, 0.9409650452378793, 1.0078029612053023, 1.0610190054054363, 1.096348511267026, 1.122380520643196, 1.1390633955870992, 1.1564011095704314, 1.1797979234588305, 1.1979653582660557, 1.2128344463286374, 1.228660089523076, 1.2396714003759377, 1.2491670016764473]","[0.42234597 0.54787233 0.64473329 0.72603569 0.79723321 0.8612069
 0.91969436 0.97383743 1.02443311 1.07206334 1.11716805 1.16008925
 1.20109892 1.24041748 1.27822649 1.31467753 1.3498987  1.38399938]",$r$,dfa (short)
Shuffled,5.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73],"[0.3869359511352113, 0.560144250655384, 0.6962636703851754, 0.8039991486181018, 0.8721937266010695, 0.9240828533449895, 0.9605234806371282, 0.9957777039022493, 1.0396789898952539, 1.0819499139812516, 1.1185892082155648, 1.1592285728159653, 1.1978925811905283, 1.234253354636443, 1.2706738006025222, 1.301415098880084, 1.3271100528286375, 1.3508205584249546]","[0.43757055 0.56423171 0.6615012  0.74288424 0.81397916 0.87773557
 0.93592878 0.98972339 1.03993116 1.08714399 1.1318089  1.17427302
 1.21481217 1.25364969 1.29096938 1.32692462 1.36164492 1.39524078]",$r$,dfa (short)
Trace,6.0,[ 5  9 13 17 21],"[0.4208152715260395, 0.6031409986884162, 0.6548148221095822, 0.6893041458391931, 0.7168711813335906]",[0.44715322 0.55345587 0.63245711 0.69711686 0.75267039],$r$,dfa (short)
Shuffled,6.0,[ 5  9 13 17 21],"[0.4141623612841937, 0.6417105904231302, 0.8294981888391479, 0.9792112867310113, 1.126671585701743]",[0.4197424  0.63208982 0.81660041 0.98436261 1.14044066],$r$,dfa (short)
Trace,7.0,[ 5  9 13 17 21 25 29],"[0.4894804797852843, 0.6219663270222738, 0.720471334440611, 0.798490470058353, 0.8448486814725086, 0.8956507932634177, 0.9616240967533258]","[0.49545435 0.61846469 0.71050662 0.78618415 0.85142843 0.90931984
 0.96169176]",$r$,dfa (short)
Shuffled,7.0,[ 5  9 13 17 21 25 29],"[0.4507572332083312, 0.6709711819000568, 0.8471911681297339, 0.99729692121381, 1.1214596306707363, 1.2334591398002388, 1.3494840016319056]","[0.46004001 0.66240836 0.83210598 0.9827432  1.12036542 1.24831648
 1.36868694]",$r$,dfa (short)
Trace,8.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61],"[0.4498960807620071, 0.613479964527042, 0.685723975092846, 0.7309924473541027, 0.7725396919736895, 0.7911628427618159, 0.8103554379138994, 0.8376357417173971, 0.8540061215549166, 0.8674664229103807, 0.8837739443891016, 0.8953805768298471, 0.9035203712652641, 0.9104023368648679, 0.9119648892190365]","[0.51005697 0.59195822 0.64975658 0.69545167 0.73369684 0.76683198
 0.79621511 0.82271078 0.84690639 0.86922084 0.8899643  0.90937339
 0.92763309 0.94489102 0.961267  ]",$r$,dfa (short)
Shuffled,8.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61],"[0.4050978433733869, 0.6197664812590078, 0.7964141708497608, 0.9425652945371135, 1.0430589022039944, 1.1593667094718252, 1.2641193317786885, 1.331329312730664, 1.385969061455589, 1.4244901904685205, 1.4510466764125172, 1.4691283696722441, 1.479941040504939, 1.492392340556708, 1.5084200623319681]","[0.46799817 0.63378169 0.76617792 0.87990353 0.98124974 1.07360371
 1.15903884 1.23893438 1.31426311 1.3857418  1.45391673 1.51921563
 1.58198092 1.64249181 1.70097954]",$r$,dfa (short)
Trace,9.0,[ 5  9 13 17 21 25 29],"[0.43415227588409555, 0.6451998033492049, 0.671543849424909, 0.6862290561245055, 0.7001922723132364, 0.6986968450125908, 0.6942833824531625]","[0.49391403 0.56847895 0.62074893 0.66188868 0.69620492 0.72585527
 0.75208833]",$r$,dfa (short)
Shuffled,9.0,[ 5  9 13 17 21 25 29],"[0.36819202953382296, 0.5539894051593856, 0.6960617523445543, 0.8735036381950481, 1.0383126954324289, 1.177629418831554, 1.2994526484002344]","[0.36205853 0.55441503 0.72378216 0.87915803 1.02469493 1.16275242
 1.29483719]",$r$,dfa (short)
Trace,10.0,[ 5  9 13 17],"[0.4232032749046801, 0.5172102348450242, 0.6412415015053177, 0.6910326897646611]",[0.41873173 0.53448167 0.62265215 0.69602071],$r$,dfa (short)
Shuffled,10.0,[ 5  9 13 17],"[0.3675063681814382, 0.7315922054716265, 0.8752605238531608, 0.9662718635192231]",[0.39769967 0.63558268 0.85222962 1.05556918],$r$,dfa (short)
