dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.42600099564408733,-1.7779177586364114,0.056994655455017,$r$,dfa (short)
Shuffled,1.0,0.7341041697740315,-2.255780668718509,0.04581901693435793,$r$,dfa (short)
Trace,2.0,0.35555345877869665,-1.414332831071171,0.033599095196999815,$r$,dfa (short)
Shuffled,2.0,0.5650768542237676,-1.6509565900112797,0.028418062639367733,$r$,dfa (short)
Trace,3.0,0.27636893820027425,-1.0904005974506088,0.024646615441160754,$r$,dfa (short)
Shuffled,3.0,0.6747441467310514,-1.989321823781868,0.012610389057660152,$r$,dfa (short)
Trace,4.0,0.5177706260551117,-1.8399557338833095,0.022534881832720816,$r$,dfa (short)
Shuffled,4.0,0.6929189210888046,-2.1336009674434466,0.012837813672707192,$r$,dfa (short)
Trace,5.0,0.48849869800985685,-1.5412094278274475,0.05266790342856287,$r$,dfa (short)
Shuffled,5.0,0.44589168759630987,-1.3682263871831375,0.0410538534389309,$r$,dfa (short)
Trace,7.0,0.32678087767940833,-1.4260379661292908,0.009129506021406749,$r$,dfa (short)
Shuffled,7.0,0.513317209196427,-1.582123835885904,0.02287110073917676,$r$,dfa (short)
Trace,8.0,0.44093084612597216,-1.5699762691906987,0.01282939072011478,$r$,dfa (short)
Shuffled,8.0,0.5375480188774945,-1.6916784267049887,0.019091458601150354,$r$,dfa (short)
Trace,9.0,0.4152305591424545,-1.5388126245939477,0.03538982718496082,$r$,dfa (short)
Shuffled,9.0,0.3544772546471945,-1.1432203035720097,0.014054308423780325,$r$,dfa (short)
Trace,10.0,0.38492789727120297,-1.3521658465604416,0.02043120607349054,$r$,dfa (short)
Shuffled,10.0,0.5705381633624687,-1.7137504995892525,0.00862693030470318,$r$,dfa (short)
Trace,11.0,0.4654201660712035,-1.5852845920208736,0.011989324294204722,$r$,dfa (short)
Shuffled,11.0,0.5363222144547454,-1.5897613111324609,0.021239783379512395,$r$,dfa (short)
Trace,12.0,0.3772880417934766,-1.3095017405616733,0.00884481132038827,$r$,dfa (short)
Shuffled,12.0,0.7849792060418855,-2.2003884232064945,0.048978876786240744,$r$,dfa (short)
Trace,13.0,0.5576333116853592,-1.8332587382543453,0.0368457941959815,$r$,dfa (short)
Shuffled,13.0,0.5393229581205603,-1.5867030582649684,0.03541605653226059,$r$,dfa (short)
Trace,14.0,0.2413340356733506,-0.9490808629058537,0.016422608299690732,$r$,dfa (short)
Shuffled,14.0,0.5809485733469334,-1.6620605964401665,0.025530128905052556,$r$,dfa (short)
Trace,15.0,0.27091825636366756,-1.0073246693896092,0.02558443412163441,$r$,dfa (short)
Shuffled,15.0,0.43778501228064914,-1.3372005882989009,0.02571310392460081,$r$,dfa (short)
Trace,16.0,0.608624470489197,-2.1333114419576757,0.03274337639704141,$r$,dfa (short)
Shuffled,16.0,0.4103622743646901,-1.4497067512722661,0.06442069296456267,$r$,dfa (short)
Trace,18.0,0.2110847950901956,-0.9329368300405447,0.06907286922116664,$r$,dfa (short)
Shuffled,18.0,0.596389205270835,-1.8204059691537373,0.11414944764272397,$r$,dfa (short)
Trace,19.0,0.3031511708261785,-1.184054449831693,0.016161392897058886,$r$,dfa (short)
Shuffled,19.0,0.49856756585827655,-1.4882917850366775,0.038964434957298656,$r$,dfa (short)
Trace,20.0,0.3889739879546166,-1.4142007652339372,0.03370766469833847,$r$,dfa (short)
Shuffled,20.0,0.6316493631113834,-1.9022246233076046,0.022035969723801833,$r$,dfa (short)
Trace,21.0,0.29639848998858365,-1.225879813788978,0.02828959577836491,$r$,dfa (short)
Shuffled,21.0,0.5210921802399937,-1.6708186264290508,0.06237107959771507,$r$,dfa (short)
Trace,23.0,0.3715001205843938,-1.3088484367267337,0.008471143363499222,$r$,dfa (short)
Shuffled,23.0,0.4570364241001908,-1.4261002701655205,0.027903144476794848,$r$,dfa (short)
Trace,24.0,0.5563533648138095,-1.6469242708314005,0.0249433621577086,$r$,dfa (short)
Shuffled,24.0,0.454946483141472,-1.4030972462972873,0.015013055209029473,$r$,dfa (short)
Trace,26.0,0.2824005811379387,-1.2458709207940717,0.032685875284688144,$r$,dfa (short)
Shuffled,26.0,0.4751250290254279,-1.5185795513862115,0.055611381220271504,$r$,dfa (short)
Trace,27.0,0.6637563374456074,-1.895572584331598,0.11928586401542111,$r$,dfa (short)
Shuffled,27.0,0.5871378264025605,-1.5110969592417605,0.004643308690825881,$r$,dfa (short)
Trace,28.0,0.3212197009747488,-1.231591319680049,0.02583193285711748,$r$,dfa (short)
Shuffled,28.0,0.43926902356841685,-1.523795308705042,0.04880144798657226,$r$,dfa (short)
Trace,30.0,0.4598678389696,-1.5432552422923669,0.03646530234322871,$r$,dfa (short)
Shuffled,30.0,0.49040835144275785,-1.4674482780878342,0.14255944187299247,$r$,dfa (short)
Trace,31.0,0.3414195052941758,-1.3627141876242852,0.03630598893645781,$r$,dfa (short)
Shuffled,31.0,0.3815104905885998,-1.2236988392098427,0.03374901060512034,$r$,dfa (short)
Trace,32.0,0.3747622346925845,-1.4331911900391208,0.025220450850496,$r$,dfa (short)
Shuffled,32.0,0.5447696014864942,-1.6272519924796585,0.04313487720988876,$r$,dfa (short)
Trace,33.0,0.3075165293418247,-1.1516224503843278,0.016886759842757924,$r$,dfa (short)
Shuffled,33.0,0.38732470227484844,-1.1739548725523035,0.04489597660233474,$r$,dfa (short)
Trace,34.0,0.47275754246314317,-1.7168145631282605,0.02659591940190155,$r$,dfa (short)
Shuffled,34.0,0.6806217071440365,-1.9134576216007948,0.028793186758291314,$r$,dfa (short)
Trace,35.0,0.2952676507700563,-1.1049615631622536,0.022488857963188717,$r$,dfa (short)
Shuffled,35.0,0.5317177132191883,-1.5318742451447136,0.030858200532545895,$r$,dfa (short)
Trace,36.0,0.33395773352334984,-1.325704349877595,0.014094694798705778,$r$,dfa (short)
Shuffled,36.0,0.508424140129523,-1.5512578996053374,0.005802168821895413,$r$,dfa (short)
Trace,37.0,0.5937870568533706,-1.8335062637370536,0.041457926685960655,$r$,dfa (short)
Shuffled,37.0,0.6219474159853737,-1.7713520058044452,0.005758133356572666,$r$,dfa (short)
Trace,38.0,0.4410418983187431,-1.6187819761390534,0.01748579432122804,$r$,dfa (short)
Shuffled,38.0,0.7372073564150103,-2.0574987971738112,0.025435679206371915,$r$,dfa (short)
Trace,39.0,0.5499635415760873,-1.7853373520847156,0.05722997000013496,$r$,dfa (short)
Shuffled,39.0,0.573800014084489,-1.6865114673013097,0.026114118876008313,$r$,dfa (short)
Trace,41.0,0.40214024349360983,-1.4587075951861816,0.03992355915038823,$r$,dfa (short)
Shuffled,41.0,0.40516378874609116,-1.2994207665274795,0.07074928558685946,$r$,dfa (short)
Trace,43.0,0.5656039449656416,-1.8251981675854934,0.041922048620892396,$r$,dfa (short)
Shuffled,43.0,0.45351449258004306,-1.552019842999681,0.04079731407265652,$r$,dfa (short)
Trace,45.0,0.35087355155144867,-1.4019974400646786,0.03891485024262024,$r$,dfa (short)
Shuffled,45.0,0.5873295272534702,-1.6681433252898092,0.09303587286638282,$r$,dfa (short)
Trace,46.0,0.32209227016434583,-1.2443486173066118,0.029465533628224565,$r$,dfa (short)
Shuffled,46.0,0.484963273960635,-1.4107296800180156,0.020210478313667138,$r$,dfa (short)
Trace,47.0,0.3825241794965199,-1.4383207022974456,0.03022928677968643,$r$,dfa (short)
Shuffled,47.0,0.45489156611488485,-1.3799286978466447,0.025961421152717573,$r$,dfa (short)
Trace,50.0,0.4688508678363207,-1.5404761864461285,0.07124148532951988,$r$,dfa (short)
Shuffled,50.0,0.6939874620068168,-2.050305864569392,0.02218242646639591,$r$,dfa (short)
Trace,51.0,0.25977291446240824,-1.1094537611188773,0.025924694121856624,$r$,dfa (short)
Shuffled,51.0,0.4944440110075285,-1.4914715256498767,0.014953627520934532,$r$,dfa (short)
Trace,52.0,0.3646160744788748,-1.2188260549378032,0.026391204070955084,$r$,dfa (short)
Shuffled,52.0,0.4667442105629937,-1.4249841742387896,0.036575154133116745,$r$,dfa (short)
Trace,54.0,0.5724660017028992,-1.857145837423941,0.0460675458545514,$r$,dfa (short)
Shuffled,54.0,0.7996254655552663,-2.2711566867947717,0.051227700889316045,$r$,dfa (short)
Trace,55.0,0.500898716915854,-1.6347563534647387,0.043978173638986984,$r$,dfa (short)
Shuffled,55.0,0.43153126583893336,-1.4434292019286386,0.007924277802268367,$r$,dfa (short)
Trace,56.0,0.400731773134145,-1.3831338100857542,0.011371864155195128,$r$,dfa (short)
Shuffled,56.0,0.5641781941527569,-1.6185116636531027,0.03055670006777159,$r$,dfa (short)
Trace,57.0,0.4027999385649363,-1.4433157897603077,0.027875927612313698,$r$,dfa (short)
Shuffled,57.0,0.664621989884333,-1.9510728992895896,0.024602066284787217,$r$,dfa (short)
Trace,58.0,0.2778153811770232,-1.1244619515797538,0.023594653368420777,$r$,dfa (short)
Shuffled,58.0,0.5112144735964856,-1.6551789558263597,0.009479222846174641,$r$,dfa (short)
Trace,59.0,0.29670006650512953,-1.1121815315066994,0.017119280173203476,$r$,dfa (short)
Shuffled,59.0,0.4830196814318402,-1.3966678959378045,0.024339426067674697,$r$,dfa (short)
Trace,60.0,0.4146621181898373,-1.5258518375973886,0.01522659342324092,$r$,dfa (short)
Shuffled,60.0,0.5156754160719834,-1.6871089021490557,0.0074044028708686906,$r$,dfa (short)
Trace,61.0,0.2850124442917433,-1.1093680517456752,0.024016226573483714,$r$,dfa (short)
Shuffled,61.0,0.3562934348078387,-1.1864620475350585,0.017964455374164585,$r$,dfa (short)
Trace,62.0,-0.04924745761859802,-0.9171172932543334,0.01376524534505906,$r$,dfa (short)
Shuffled,62.0,0.5928845919176503,-1.851740628035952,0.029308754022368207,$r$,dfa (short)
Trace,63.0,0.4427073262920732,-1.5744404165266603,0.025391747684277335,$r$,dfa (short)
Shuffled,63.0,0.4778985814812488,-1.5639996072578644,0.01705545446560646,$r$,dfa (short)
Trace,64.0,0.4990167803143749,-1.5061662746924822,0.01343014418730483,$r$,dfa (short)
Shuffled,64.0,0.4840774415940702,-1.4094109352792787,0.04294111856919062,$r$,dfa (short)
Trace,67.0,0.39500254169252347,-1.3335630047968523,0.0277809703162644,$r$,dfa (short)
Shuffled,67.0,0.6219564056115869,-1.8657489931805125,0.019496649292549458,$r$,dfa (short)
Trace,68.0,0.42371380817155185,-1.5086386431507761,0.031371854232377726,$r$,dfa (short)
Shuffled,68.0,0.37925298259168255,-1.2648786175153797,0.04365481507007161,$r$,dfa (short)
Trace,69.0,0.3462853852461847,-1.4218922953376758,0.015476439997231611,$r$,dfa (short)
Shuffled,69.0,0.5755385640648015,-1.7261079178327219,0.010088157832429433,$r$,dfa (short)
Trace,70.0,0.4403042204653765,-1.536482121320945,0.025133916689025315,$r$,dfa (short)
Shuffled,70.0,0.6436602354947354,-1.940806173112189,0.015377613052448662,$r$,dfa (short)
Trace,71.0,0.37475891937032696,-1.441077646455882,0.019053166509511686,$r$,dfa (short)
Shuffled,71.0,0.7276156695793833,-2.0477010796381174,0.027953398741005737,$r$,dfa (short)
Trace,73.0,0.44077346416249813,-1.8863035762503384,0.011690408737487092,$r$,dfa (short)
Shuffled,73.0,0.659937928529992,-2.037601297293213,0.010608516841605145,$r$,dfa (short)
Trace,74.0,0.3908554441932201,-1.4221611997272345,0.031887734173706425,$r$,dfa (short)
Shuffled,74.0,0.48807908658285365,-1.5863154247571367,0.03267721029243668,$r$,dfa (short)
Trace,75.0,0.34412664716369656,-1.2792185240713414,0.01469364637514301,$r$,dfa (short)
Shuffled,75.0,0.49926886590581293,-1.4522190660598435,0.010117659369330945,$r$,dfa (short)
Trace,76.0,0.2761526208019293,-1.1589927526531545,0.038813328340315374,$r$,dfa (short)
Shuffled,76.0,0.6181043122245902,-1.745961240825833,0.04080419329727512,$r$,dfa (short)
Trace,77.0,0.5542820611099669,-1.8506997438588237,0.06806033972645781,$r$,dfa (short)
Shuffled,77.0,0.9196280584910306,-2.6159816136257534,0.04100787015019861,$r$,dfa (short)
Trace,78.0,0.31213298098227144,-1.1453607971997144,0.03277078333648713,$r$,dfa (short)
Shuffled,78.0,0.3960507511014775,-1.3449570419868084,0.04405625934752099,$r$,dfa (short)
Trace,79.0,0.8453461203852046,-2.573808871167789,0.17897333571422155,$r$,dfa (short)
Shuffled,79.0,0.5635264673574686,-2.118562798152103,0.14625349151240155,$r$,dfa (short)
Trace,80.0,0.3567240610007644,-1.1549541554321028,0.016352411839348713,$r$,dfa (short)
Shuffled,80.0,0.43537776602071115,-1.4730161240802957,0.03264182154029038,$r$,dfa (short)
Trace,81.0,0.26520243422499157,-1.0958295790598978,0.015047582802709299,$r$,dfa (short)
Shuffled,81.0,0.5056627648712014,-1.4660242104418892,0.029773186548328806,$r$,dfa (short)
Trace,82.0,0.41250499275107744,-1.4594613946063817,0.042154591490156955,$r$,dfa (short)
Shuffled,82.0,0.6178745007034169,-1.8492920334345393,0.04020791777376127,$r$,dfa (short)
Trace,83.0,0.2554548010376731,-1.078233779593559,0.0444559454284805,$r$,dfa (short)
Shuffled,83.0,0.5061094603820625,-1.5072538186907067,0.008320418192060823,$r$,dfa (short)
Trace,84.0,0.4564583978549383,-1.6613598381543841,0.022336764523500356,$r$,dfa (short)
Shuffled,84.0,0.6030261549330104,-1.8238639032201622,0.049345304907026426,$r$,dfa (short)
Trace,85.0,0.60073269850614,-1.8335022769783154,0.031176865813470452,$r$,dfa (short)
Shuffled,85.0,0.45071970537232464,-1.4738885118546523,0.04917091504496014,$r$,dfa (short)
