dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  9 13 17 21 25 29],"[0.3768391287134396, 0.5754791325732528, 0.7018254971976587, 0.735348266623084, 0.7542909359468184, 0.7747938684339983, 0.8020455637707613]","[0.42173361 0.53634833 0.62339886 0.69569329 0.75849499 0.81456015
 0.86553982]",$r$,dfa (short)
Shuffled,1.0,[ 5  9 13 17 21 25 29],"[0.4395813404715224, 0.6257326014817444, 0.8318308769360184, 0.9652950495481176, 1.0367056807168793, 1.1430685159764349, 1.2516213166956516]","[0.44833812 0.63583598 0.79117889 0.9279575  1.05215169 1.16704706
 1.27468705]",$r$,dfa (short)
Trace,2.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89],"[0.43382939813969346, 0.6076071496178594, 0.725541750313112, 0.8163010791256193, 0.8733590138117193, 0.9502982939357439, 1.0187201600156572, 1.0590924175437586, 1.1080391301156824, 1.1520326924796562, 1.178992349585568, 1.2146552800537413, 1.2475577856552515, 1.2671424544742373, 1.2938071933353539, 1.322008997906244, 1.3391695662894452, 1.3640050395950614, 1.3897646462713003, 1.4054002435567126, 1.4279939404398558, 1.4477774576094427]","[0.48544419 0.61210005 0.70763727 0.78661487 0.85498342 0.9158472
 0.97106023 1.02183105 1.06899744 1.11316743 1.15479828 1.19424374
 1.23178392 1.26764491 1.30201228 1.33504042 1.36685938 1.39757988
 1.42729708 1.45609342 1.4840409  1.51120279]",$r$,dfa (short)
Shuffled,2.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89],"[0.4377497968197995, 0.6463123052513223, 0.7713848012732549, 0.8610985035990097, 0.9448203096224238, 1.0398944232058456, 1.1231921850951712, 1.1941427867836685, 1.272404808391205, 1.3369301074241122, 1.387844757600234, 1.4446746829337447, 1.4949155465946928, 1.5371130641097028, 1.5847815632651832, 1.6263931989425404, 1.6635731755545387, 1.707553445021403, 1.7528354796382675, 1.7965583165386205, 1.846473184555879, 1.8961151251147972]","[0.47090928 0.6268148  0.74961999 0.85413508 0.94662317 1.03043071
 1.10759405 1.17946115 1.24697879 1.31084203 1.37157887 1.42960157
 1.48523928 1.53875972 1.59038412 1.6402978  1.68865779 1.73559856
 1.78123627 1.8256721  1.86899484 1.91128286]",$r$,dfa (short)
Trace,3.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89 93],"[0.4468878187000431, 0.6475791205368491, 0.7281222924846802, 0.7731321744455844, 0.8249151606268849, 0.8595773731112508, 0.8750227056736879, 0.9054861885830403, 0.9295302225915716, 0.9428083113069475, 0.9668369100698062, 0.9868600430211015, 0.9971468776848913, 1.0095352605665306, 1.0195129859648402, 1.0227656021639095, 1.0305128605541793, 1.0371761406000795, 1.0403013593180293, 1.0495764768336233, 1.0583660702823305, 1.063628205142271, 1.0736943543672473]","[0.54293023 0.62910127 0.68983445 0.73780835 0.77793464 0.81268132
 0.84347998 0.87124156 0.89658479 0.91995072 0.94166584 0.96197915
 0.98108527 0.99913946 1.01626773 1.03257388 1.0481445  1.06305269
 1.07736071 1.09112211 1.10438328 1.11718472 1.129562  ]",$r$,dfa (short)
Shuffled,3.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89 93],"[0.45448730117612357, 0.6694112707235662, 0.8448065073046065, 0.9871385741372294, 1.103191558542276, 1.2190208143209211, 1.299870491499211, 1.3567847047922548, 1.41303589012757, 1.4585637032041987, 1.494355198362145, 1.5340708942960872, 1.5746338799313442, 1.6158399456641945, 1.6639430444704033, 1.714224405115234, 1.7634931955056383, 1.8181039827610799, 1.8753321777494194, 1.9319883250402972, 1.9918343225196418, 2.0509831823156084, 2.106002091349937]","[0.52070212 0.68962973 0.82216119 0.93465115 1.03399413 1.12386583
 1.20649908 1.2833698  1.35551341 1.4236892  1.48847348 1.55031578
 1.60957478 1.666542   1.72145819 1.77452488 1.82591275 1.87576787
 1.9242164  1.97136814 2.0173194  2.06215516 2.10595091]",$r$,dfa (short)
Trace,4.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53],"[0.46346808901542735, 0.666051513148977, 0.7851907993819278, 0.8450583771003944, 0.8891449918309068, 0.9302123218374074, 0.9645344378714049, 0.9959970260007761, 1.025980023599962, 1.0538709902556855, 1.084356076024684, 1.1138819089677283, 1.1410833201712445]","[0.52305697 0.64008018 0.72625841 0.79636196 0.85631464 0.90916608
 0.95671892 1.00013823 1.04022585 1.07756004 1.11257324 1.1455983
 1.17689759]",$r$,dfa (short)
Shuffled,4.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53],"[0.503880086604049, 0.6847377108312385, 0.8022503654301422, 0.9100835517232975, 1.0043207630764242, 1.106053322259572, 1.2032329958276093, 1.2999541306920732, 1.3908239504237416, 1.4595932599078452, 1.5157469859674622, 1.573290748523889, 1.617100948667236]","[0.50080689 0.67229368 0.80829037 0.92456069 1.02780654 1.12162228
 1.20820152 1.2889998  1.3650416  1.43708034 1.5056893  1.5713167
 1.63432088]",$r$,dfa (short)
Trace,5.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89],"[0.3887500616135877, 0.5412050153204238, 0.6083421998150537, 0.6514933028349382, 0.708472919510869, 0.7413409270939074, 0.7651577163432814, 0.8009389390622306, 0.8287902927718278, 0.8515041253415983, 0.8826420489969637, 0.9019576587873567, 0.9159557494766375, 0.935828651820785, 0.9480639563320113, 0.9593247543111094, 0.9763109678866048, 0.9883720584893888, 1.0007256837951597, 1.018987015468228, 1.0339543198389292, 1.0490347040441153]","[0.43564442 0.52358708 0.58741909 0.63884342 0.6825004  0.72075984
 0.75501388 0.78615767 0.81480458 0.84139527 0.86625817 0.88964531
 0.91175479 0.93274547 0.95274688 0.97186619 0.99019319 1.00780394
 1.02476349 1.04112795 1.05694612 1.07226071]",$r$,dfa (short)
Shuffled,5.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89],"[0.37919465223389975, 0.6233875551141911, 0.7970920605319022, 0.9294510677081678, 1.0656944164649385, 1.1982644149855473, 1.3096034234419422, 1.4175618218740063, 1.5147607403464618, 1.5929577790436047, 1.654447243931004, 1.706091749091944, 1.7544630037640288, 1.7977749691306022, 1.838537453442974, 1.8782135859042968, 1.9163423907184765, 1.9527836956821136, 1.9862619555573104, 2.0186654492144935, 2.050249966142484, 2.0788973478135637]","[0.45600165 0.63354089 0.77824583 0.90426148 1.01773225 1.12200377
 1.21914211 1.31053168 1.39715498 1.47973983 1.55884361 1.63490464
 1.7082752  1.77924354 1.84804919 1.91489383 1.97994917 2.04336294
 2.10526327 2.16576225 2.22495856 2.28293969]",$r$,dfa (short)
Trace,6.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85],"[0.4331948822270252, 0.5837672463750149, 0.6681650279759902, 0.7113625229504085, 0.7514632067416109, 0.785093386591091, 0.8149266699887686, 0.841380947071938, 0.8611026455539431, 0.8775086327456791, 0.8954652904737119, 0.9081084703233819, 0.9177225377039685, 0.9260681253678219, 0.9296406448122077, 0.9317493573395104, 0.9370951723675938, 0.941876247274245, 0.9448790181673518, 0.949760086222623, 0.9537738540940169]","[0.50450066 0.58337049 0.63886571 0.68265352 0.7192478  0.75091465
 0.77896757 0.80424191 0.82730472 0.84856008 0.86830697 0.88677335
 0.90413733 0.92054095 0.93609948 0.95090782 0.96504515 0.97857827
 0.99156409 1.00405153 1.01608296]",$r$,dfa (short)
Shuffled,6.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85],"[0.43924369981670147, 0.6248456945383488, 0.7628832425002965, 0.8550962562564652, 0.928280668452394, 1.0088118140468776, 1.0870991100662823, 1.163343018382282, 1.244191065852569, 1.3276399753317425, 1.4028202832166974, 1.4708815035798917, 1.5330189565714187, 1.5841618860599778, 1.630333558675963, 1.6765079891053116, 1.7163287123804127, 1.7563661062347722, 1.8015280684077424, 1.8460150376851676, 1.8907758270312796]","[0.45331607 0.61115494 0.73675697 0.84438758 0.94012801 1.02724587
 1.10773833 1.18293222 1.25376235 1.32091686 1.38491975 1.44618102
 1.50502867 1.56172996 1.61650612 1.66954272 1.72099727 1.7710048
 1.81968212 1.8671311  1.91344121]",$r$,dfa (short)
