dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,3.0,[ 5  9 13],"[0.5072555906123994, 0.5871362789637665, 0.6607071211747716]",[0.50517022 0.59345501 0.65637073],$r$,dfa (short)
Shuffled,3.0,[ 5  9 13],"[0.400498492508761, 0.5420216030747791, 0.7172608925936296]",[0.39489668 0.56222781 0.70129191],$r$,dfa (short)
Trace,6.0,[ 5  9 13],"[0.5036733574070713, 0.6380587603335421, 0.6576630193059929]",[0.51295121 0.60850284 0.67713366],$r$,dfa (short)
Shuffled,6.0,[ 5  9 13],"[0.4491922424806461, 0.7014477192649629, 0.8103663377295043]",[0.45865965 0.66444322 0.83783893],$r$,dfa (short)
Trace,7.0,[ 5  9 13 17 21 25 29],"[0.5401046323143991, 0.7215907581650092, 0.7768049102307185, 0.8064815106033549, 0.8308367604522895, 0.826772915039173, 0.8202375150238694]","[0.58826558 0.67286738 0.73187607 0.77816385 0.81667644 0.84988468
 0.87921539]",$r$,dfa (short)
Shuffled,7.0,[ 5  9 13 17 21 25 29],"[0.43452429409980226, 0.7115142965651409, 0.8987190621856564, 1.084203180599998, 1.231798217018134, 1.2793261480228983, 1.2856197911064546]","[0.46881695 0.68105747 0.86029095 1.02014993 1.16672317 1.30339161
 1.43227548]",$r$,dfa (short)
Trace,8.0,[ 5  9 13 17 21 25],"[0.46747902288071597, 0.6574087491554808, 0.7509097497188946, 0.8126736715673613, 0.9069360033766822, 0.9546551992087674]",[0.48495528 0.62601292 0.73443245 0.82519744 0.90452332 0.97568638],$r$,dfa (short)
Shuffled,8.0,[ 5  9 13 17 21 25],"[0.5177689277120956, 0.732786808420219, 0.8492532887286959, 0.9551915692543448, 1.0724118038752, 1.158727482046026]",[0.52923251 0.70653199 0.84651879 0.9658456  1.07156774 1.16745987],$r$,dfa (short)
Trace,10.0,[ 5  9 13 17 21 25 29 33 37],"[0.4890105407679853, 0.653585794653123, 0.7343083518807748, 0.7794765200600609, 0.8252347968840109, 0.8469339056556978, 0.8605192105999301, 0.8773075851128427, 0.8826977519301414]","[0.53090605 0.62677    0.6953584  0.7500852  0.79620906 0.83639439
 0.87219671 0.90461114 0.93431661]",$r$,dfa (short)
Shuffled,10.0,[ 5  9 13 17 21 25 29 33 37],"[0.5316251113129379, 0.6972675120518148, 0.8039949192792606, 0.8601514002986231, 0.9235559852742924, 0.9856304090312316, 1.0378813090657737, 1.0966430156633278, 1.1511635736318615]","[0.54698188 0.68006182 0.77931972 0.8607551  0.93084945 0.99296302
 1.04909303 1.1005361  1.14818807]",$r$,dfa (short)
Trace,11.0,[ 5  9 13 17 21 25 29 33 37],"[0.48010916730681125, 0.6631342673235708, 0.7377441814489274, 0.8000444708824325, 0.8382605890822011, 0.875240438143267, 0.8945926356405436, 0.9060799654027997, 0.9142905878803279]","[0.52444577 0.62848219 0.70381919 0.76441715 0.81580123 0.86078954
 0.90103586 0.93760271 0.97121762]",$r$,dfa (short)
Shuffled,11.0,[ 5  9 13 17 21 25 29 33 37],"[0.5013194922375425, 0.7003585011793364, 0.8273976015692317, 0.9337011735320908, 1.0070961940076941, 1.056215527256248, 1.103854014340715, 1.1431463746797785, 1.1784793660460473]","[0.53401568 0.68310707 0.79687125 0.89164679 0.9741725  1.04798629
 1.11521175 1.17723875 1.23503419]",$r$,dfa (short)
Trace,12.0,[ 5  9 13],"[0.5061977034268399, 0.6392709035014297, 0.7020286208141465]",[0.51032582 0.62592063 0.71120224],$r$,dfa (short)
Shuffled,12.0,[ 5  9 13],"[0.4779624723631065, 0.6508581186134432, 0.7925294585537971]",[0.47768272 0.65184904 0.79178811],$r$,dfa (short)
Trace,14.0,[ 5  9 13 17 21],"[0.3466098213886191, 0.5278760044889522, 0.6469574472632311, 0.8296773295248714, 0.911945017392]",[0.34799693 0.51953844 0.66757513 0.80155347 0.92576474],$r$,dfa (short)
Shuffled,14.0,[ 5  9 13 17 21],"[0.4456828440312526, 0.5622068255057171, 0.6355552390194326, 0.7351233514189027, 0.7914538063380712]",[0.44343912 0.56146266 0.65078513 0.7247902  0.7889624 ],$r$,dfa (short)
Trace,16.0,[ 5  9 13 17 21],"[0.5096082734178858, 0.7165391915873403, 0.8067462067758056, 0.8584766119727026, 0.9281476809457311]",[0.53134696 0.67515033 0.784292   0.87488955 0.95356259],$r$,dfa (short)
Shuffled,16.0,[ 5  9 13 17 21],"[0.4691593252957778, 0.6785318396768106, 0.7726424570452346, 0.8320243081832498, 0.8704220701848654]",[0.49365047 0.63537869 0.74405941 0.83490044 0.91419861],$r$,dfa (short)
Trace,17.0,[ 5  9 13 17 21],"[0.5012235726930296, 0.6952969439931059, 0.8227454414691188, 0.9074768157971939, 0.9716872368204237]",[0.51435918 0.6755729  0.8012129  0.90737735 1.00081718],$r$,dfa (short)
Shuffled,17.0,[ 5  9 13 17 21],"[0.4703759922633282, 0.6871242095447251, 0.8631698362452591, 0.9932274956230619, 1.0839111520823341]",[0.47897749 0.67737507 0.84138007 0.98556753 1.11633913],$r$,dfa (short)
Trace,18.0,[ 5  9 13 17 21 25 29 33 37],"[0.3404048197328565, 0.5519495042740655, 0.6597213054642275, 0.7339866433202094, 0.8153259791425855, 0.873222011983884, 0.9205972757763784, 0.983442387683628, 1.026940560549338]","[0.37616399 0.51147617 0.61988599 0.71320956 0.79651092 0.87252136
 0.94291515 1.00880728 1.07098496]",$r$,dfa (short)
Shuffled,18.0,[ 5  9 13 17 21 25 29 33 37],"[0.34082223599592704, 0.5560431343978024, 0.7560641634674171, 0.8668153085846039, 0.9468113968484536, 1.0466566076090729, 1.1305220462098413, 1.1983040657268893, 1.2869966999311102]","[0.37247657 0.54304001 0.68748721 0.81656693 0.9350906  1.04573412
 1.15017759 1.24956228 1.3447076 ]",$r$,dfa (short)
Trace,20.0,[ 5  9 13 17 21],"[0.5568427818981206, 0.7030307237879401, 0.755843683568452, 0.7698142803794044, 0.7888088312434813]",[0.5800764  0.66776165 0.72923733 0.77762693 0.81799333],$r$,dfa (short)
Shuffled,20.0,[ 5  9 13 17 21],"[0.50541456360042, 0.7019008897371843, 0.8277861407319395, 0.9109628778876827, 0.955554016133502]",[0.52131598 0.6793493  0.80173945 0.90472228 0.99507291],$r$,dfa (short)
Trace,23.0,[ 5  9 13 17 21 25 29 33],"[0.361724101775589, 0.584913458132571, 0.7125398303812213, 0.7750204832375837, 0.8223432644038724, 0.8756275942957438, 0.9090445616512777, 0.9416700765857114]","[0.40784111 0.54095179 0.64550636 0.73432043 0.81280162 0.88383474
 0.94917313 1.00997623]",$r$,dfa (short)
Shuffled,23.0,[ 5  9 13 17 21 25 29 33],"[0.4038147891905326, 0.5925054534084869, 0.8126865298124228, 0.9651979912427301, 1.0932115577091495, 1.1949073600034175, 1.255549320522597, 1.3144788767549032]","[0.41764591 0.60944947 0.77200234 0.91733253 1.05082713 1.17548342
 1.29318387 1.40520752]",$r$,dfa (short)
Trace,24.0,[ 5  9 13 17 21 25 29 33 37],"[0.43327481286261743, 0.6047883116881758, 0.6819088809225549, 0.7101539190819941, 0.7413047419476305, 0.7572447770095673, 0.7620534933498325, 0.7741855758123447, 0.7869422105322472]","[0.48478945 0.56856498 0.62818727 0.67559137 0.7154366  0.7500768
 0.78088305 0.80873081 0.83421643]",$r$,dfa (short)
Shuffled,24.0,[ 5  9 13 17 21 25 29 33 37],"[0.5227746564818063, 0.7313733983135257, 0.8491966872680881, 0.9688482155304732, 1.0352681699407105, 1.109359485390572, 1.181605032003799, 1.245320475845513, 1.3025702646733879]","[0.54565656 0.70826271 0.83379687 0.93920115 1.03152779 1.11450329
 1.19037565 1.26062236 1.32627485]",$r$,dfa (short)
Trace,27.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69],"[0.44271855160163454, 0.6242369751851298, 0.7313267725382009, 0.797985126785916, 0.8445995459659109, 0.8863615258343229, 0.9036371216357031, 0.9138822060083369, 0.9316934498125952, 0.9440395488302606, 0.9560586659131186, 0.9721582678476036, 0.980572859489182, 0.9903430778234592, 1.0050081110257887, 1.0158571317253722, 1.0259245637823127]","[0.52681154 0.61935971 0.68535497 0.73789512 0.78210133 0.8205636
 0.85479179 0.88575072 0.91409794 0.94030368 0.96471696 0.9876046
 1.00917564 1.02959716 1.04900505 1.06751142 1.08520995]",$r$,dfa (short)
