dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,3.0,0.27402114126834287,-1.1238798583727976,0.01940390695044574,$r$,dfa (short)
Shuffled,3.0,0.6010394527206663,-1.8964668106690645,0.06634693336641138,$r$,dfa (short)
Trace,6.0,0.2906170766430292,-1.1353046788479757,0.08597394155277087,$r$,dfa (short)
Shuffled,6.0,0.6305706226693466,-1.794311116617903,0.09824251691355151,$r$,dfa (short)
Trace,7.0,0.22860288080756802,-0.8984989014084523,0.04450823334130032,$r$,dfa (short)
Shuffled,7.0,0.6353228582988732,-1.78005558905226,0.04946072505273563,$r$,dfa (short)
Trace,8.0,0.4343656369586871,-1.4227831219780427,0.02639048377127653,$r$,dfa (short)
Shuffled,8.0,0.49157394950391,-1.4274851678540161,0.016780434357034666,$r$,dfa (short)
Trace,10.0,0.2824061610226184,-1.087685382199377,0.027760915131676275,$r$,dfa (short)
Shuffled,10.0,0.3704881938251234,-1.1996173446552696,0.010454123160311789,$r$,dfa (short)
Trace,11.0,0.3078764355886594,-1.1409212565484643,0.029280058930950013,$r$,dfa (short)
Shuffled,11.0,0.4189043776245831,-1.3015306681136163,0.02265109639152437,$r$,dfa (short)
Trace,12.0,0.3473610424277317,-1.2317619238902233,0.038256454530544146,$r$,dfa (short)
Shuffled,12.0,0.5288760114531635,-1.5900016420315992,0.00275771267139874,$r$,dfa (short)
Trace,14.0,0.6817901416744023,-2.1528605263935723,0.026323252718290925,$r$,dfa (short)
Shuffled,14.0,0.4014802849899303,-1.459352350238658,0.014396409806901293,$r$,dfa (short)
Trace,16.0,0.40749505841320344,-1.2881780627270083,0.04314471866164565,$r$,dfa (short)
Shuffled,16.0,0.4293964067554132,-1.3970144264652116,0.052823064423695415,$r$,dfa (short)
Trace,17.0,0.4638404909837862,-1.4113559403098153,0.028246269794398524,$r$,dfa (short)
Shuffled,17.0,0.5896212775468157,-1.6850605073703204,0.023433822787470714,$r$,dfa (short)
Trace,18.0,0.5227675739477037,-1.8190920521082166,0.031416529343639116,$r$,dfa (short)
Shuffled,18.0,0.6414042258710109,-2.0198814151172875,0.03217503424387394,$r$,dfa (short)
Trace,20.0,0.23949415036124197,-0.9300464168498002,0.04270886234018969,$r$,dfa (short)
Shuffled,20.0,0.45046801299462647,-1.3763992363026558,0.03507098250818713,$r$,dfa (short)
Trace,23.0,0.480535739534143,-1.6702700557969543,0.04822422802638421,$r$,dfa (short)
Shuffled,23.0,0.6429578804372243,-1.9079220943260977,0.02878664551202146,$r$,dfa (short)
Trace,24.0,0.2711884240106176,-1.1605015346152916,0.0367819951039539,$r$,dfa (short)
Shuffled,24.0,0.44374145959587696,-1.319939833602264,0.013944211562414932,$r$,dfa (short)
Trace,27.0,0.27534366446527986,-1.0840609281490625,0.022377153361569063,$r$,dfa (short)
Shuffled,27.0,0.40597117149427725,-1.373416502600867,0.014490114613846654,$r$,dfa (short)
Trace,29.0,0.38827148436073317,-1.4370909578514652,0.08314390472915076,$r$,dfa (short)
Shuffled,29.0,0.5980776751018408,-1.7014329609621237,0.10653022904535521,$r$,dfa (short)
Trace,31.0,0.29048470098028667,-1.2224330834919745,0.025116768963732574,$r$,dfa (short)
Shuffled,31.0,0.7280247149989878,-2.042858514343772,0.0324281842948907,$r$,dfa (short)
Trace,32.0,0.301173968541229,-1.2939938813745862,0.06842548425842959,$r$,dfa (short)
Shuffled,32.0,0.5456280835960795,-1.5890223484289905,0.007082130946076514,$r$,dfa (short)
Trace,33.0,0.4253289230425044,-1.5058966758267252,0.07759326548625113,$r$,dfa (short)
Shuffled,33.0,0.6136746979922921,-1.816528104444974,0.1583695003179351,$r$,dfa (short)
Trace,36.0,0.391460906093299,-1.4078269595259822,0.03967287494266125,$r$,dfa (short)
Shuffled,36.0,0.45569120932076124,-1.4471608085109564,0.0636862771841754,$r$,dfa (short)
Trace,37.0,0.3838452537090111,-1.2478596203440009,0.0006866938106172923,$r$,dfa (short)
Shuffled,37.0,0.432929430587154,-1.5876773034771885,0.05011792316352117,$r$,dfa (short)
Trace,38.0,0.28832930463117395,-1.06456976305209,0.06842472380742684,$r$,dfa (short)
Shuffled,38.0,0.3798463355801251,-1.23265508045056,0.04033622291458917,$r$,dfa (short)
Trace,39.0,0.5371211988199743,-1.7480580735561522,0.02750034528619382,$r$,dfa (short)
Shuffled,39.0,0.29222351943980385,-1.2120659904489954,0.025511948691574773,$r$,dfa (short)
Trace,40.0,0.30236246669747646,-1.2080116663408793,0.037217395728740624,$r$,dfa (short)
Shuffled,40.0,0.5595591940876387,-1.7011092388425966,0.016762016187416115,$r$,dfa (short)
Trace,42.0,0.27763965021985537,-1.0901517475659794,0.029204919606708207,$r$,dfa (short)
Shuffled,42.0,0.5360280851627439,-1.6025531047184063,0.02028921014998594,$r$,dfa (short)
Trace,43.0,0.3447415424692497,-1.2580246694495056,0.03567878108078501,$r$,dfa (short)
Shuffled,43.0,0.5478226618223028,-1.6229543486446538,0.01592283225265837,$r$,dfa (short)
Trace,45.0,0.3336245614859806,-1.2890617846946608,0.09279834379135789,$r$,dfa (short)
Shuffled,45.0,0.7488216059772428,-2.1385343585200154,0.07175511622105156,$r$,dfa (short)
Trace,48.0,0.10424611652108624,-0.7352213681403242,0.021833217105191816,$r$,dfa (short)
Shuffled,48.0,0.3924376943943059,-1.1959321610735267,0.03282852625228988,$r$,dfa (short)
Trace,51.0,0.3686159016147434,-1.3490664625671693,0.07744880914191615,$r$,dfa (short)
Shuffled,51.0,0.7821930371177055,-2.0835411589444237,0.06586058589474171,$r$,dfa (short)
Trace,52.0,0.3415875465711914,-1.152832837514418,0.0606830959790515,$r$,dfa (short)
Shuffled,52.0,0.4995445272555064,-1.586664854901307,0.04882346173897953,$r$,dfa (short)
Trace,55.0,0.22950212242199772,-1.019938868355433,0.019964115882593492,$r$,dfa (short)
Shuffled,55.0,0.42660971592810365,-1.2998719928101852,0.02584580701385458,$r$,dfa (short)
Trace,57.0,0.4941817541834654,-1.7938719406424892,0.05070160896729672,$r$,dfa (short)
Shuffled,57.0,0.5597212286917307,-1.6634348801622232,0.0452777649711175,$r$,dfa (short)
Trace,60.0,0.38656630027477973,-1.3840902359701428,0.0818170706315582,$r$,dfa (short)
Shuffled,60.0,0.7898896477513082,-2.1294933738052997,0.0435564558704625,$r$,dfa (short)
Trace,61.0,0.1753039034068537,-0.9696869000731485,0.025705104534058186,$r$,dfa (short)
Shuffled,61.0,0.5254879809524334,-1.5353970932752765,0.01418038597191223,$r$,dfa (short)
Trace,64.0,0.4097953959366085,-1.3189203963402545,0.09320791979131962,$r$,dfa (short)
Shuffled,64.0,0.3925178174669993,-1.2115998580253922,0.016758347806651003,$r$,dfa (short)
Trace,69.0,0.43474986998180937,-1.6605517471691884,0.02744455425336665,$r$,dfa (short)
Shuffled,69.0,0.3127039101722034,-1.3285394891681443,0.04814878452119568,$r$,dfa (short)
Trace,74.0,0.36011861162482117,-1.4013155715961712,0.014123332408426073,$r$,dfa (short)
Shuffled,74.0,0.5892538636226579,-1.8235750360828114,0.019838766276422004,$r$,dfa (short)
Trace,75.0,0.41446432945371303,-1.3338599966908964,0.062370802516035655,$r$,dfa (short)
Shuffled,75.0,0.44748525538892436,-1.4232914492245368,0.030472367422905648,$r$,dfa (short)
Trace,77.0,0.4071434091421154,-1.8764068383349817,0.02903747992205448,$r$,dfa (short)
Shuffled,77.0,0.8025077581282948,-2.274185279601339,0.029959202542476377,$r$,dfa (short)
Trace,78.0,0.20149221412603227,-0.9604404577214943,0.026629666264010858,$r$,dfa (short)
Shuffled,78.0,0.5211451259768949,-1.4970605365241012,0.030926725673598755,$r$,dfa (short)
Trace,80.0,0.27506058400623495,-1.1449922200572666,0.0024670040586418675,$r$,dfa (short)
Shuffled,80.0,0.6064489524677075,-1.6196419096473738,0.08525417695993916,$r$,dfa (short)
Trace,83.0,0.320177978221255,-1.4534502577823654,0.0361193198573555,$r$,dfa (short)
Shuffled,83.0,0.4220687109634771,-1.392216186456032,0.01637368102848788,$r$,dfa (short)
Trace,85.0,0.26957332579150073,-1.030867437474667,0.015470660019833342,$r$,dfa (short)
Shuffled,85.0,0.6037343908204917,-1.7712223315700801,0.009165126352685316,$r$,dfa (short)
Trace,86.0,0.31951352231738595,-1.3479632266541173,0.058838707022822186,$r$,dfa (short)
Shuffled,86.0,0.49384982415580536,-1.532948345761389,0.09228202543204919,$r$,dfa (short)
Trace,88.0,0.37370478211663427,-1.4018807288161286,0.011795099714863536,$r$,dfa (short)
Shuffled,88.0,0.5892668431044955,-1.8403628588831793,0.008637922231291851,$r$,dfa (short)
Trace,92.0,0.2436372052448083,-1.1778733801247216,0.04702102429638266,$r$,dfa (short)
Shuffled,92.0,0.397298968701844,-1.2116537282757478,0.010899988404023347,$r$,dfa (short)
Trace,93.0,0.3135774346028155,-1.1789760204159907,0.033443654091722244,$r$,dfa (short)
Shuffled,93.0,0.5337762241507493,-1.5854156814424814,0.026966295798837255,$r$,dfa (short)
