dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  9 13],"[0.3910625039913265, 0.6340825340759192, 0.7260196686846566]",[0.40132087 0.59282273 0.75670006],$r$,dfa (short)
Shuffled,1.0,[ 5  9 13],"[0.44323653062438295, 0.7647706409772497, 0.8660727380923793]",[0.45839676 0.70077464 0.91390532],$r$,dfa (short)
Trace,2.0,[ 5  9 13 17 21 25 29],"[0.37104152521524486, 0.5515074472619124, 0.6381931744513621, 0.6956333959013881, 0.7904717470682778, 0.8473005625361699, 0.8866200445496397]","[0.3904087  0.5189079  0.62000802 0.70598363 0.78202077 0.85088862
 0.91427144]",$r$,dfa (short)
Shuffled,2.0,[ 5  9 13 17 21 25 29],"[0.3849208612372576, 0.5662174615004936, 0.7460469547916848, 0.8952005126264231, 1.0139063277454035, 1.0992226311937683, 1.158037370980114]","[0.39244709 0.57306096 0.72621183 0.86318514 0.98903755 1.10658328
 1.21759026]",$r$,dfa (short)
Trace,8.0,[ 5  9 13 17 21 25 29 33],"[0.295808557602883, 0.5146696240114788, 0.5667526443357419, 0.6240476830372725, 0.7090857536315923, 0.7491522654766465, 0.7899233088213308, 0.8596862049359144]","[0.3312845  0.44915067 0.54336534 0.6243433  0.69653998 0.76235535
 0.82325908 0.88022915]",$r$,dfa (short)
Shuffled,8.0,[ 5  9 13 17 21 25 29 33],"[0.3630157818865802, 0.5437424115441362, 0.6981433439365421, 0.8856613168914137, 1.0147032488599954, 1.0587731011996626, 1.073762408863718, 1.0877273499815256]","[0.38323081 0.5494585  0.68837769 0.81141167 0.92362094 1.02779932
 1.12569092 1.21847487]",$r$,dfa (short)
Trace,11.0,[ 5  9 13],"[0.41134565417557556, 0.6568615838503682, 0.6588516779446192]",[0.43025366 0.58446478 0.70792216],$r$,dfa (short)
Shuffled,11.0,[ 5  9 13],"[0.48246789012811053, 0.6706579911114888, 0.7626178835831646]",[0.48830497 0.65002513 0.77741911],$r$,dfa (short)
Trace,13.0,[ 5  9 13 17 21 25],"[0.4830448597913349, 0.6463762867236553, 0.7616129157306347, 0.8014443386218403, 0.8175346061240081, 0.8565392861629088]",[0.50849757 0.62526065 0.7115795  0.78197917 0.84230284 0.89556502],$r$,dfa (short)
Shuffled,13.0,[ 5  9 13 17 21 25],"[0.4050017232422104, 0.7449048768713056, 0.9346589197825755, 1.0937521861224264, 1.207339947325429, 1.2567699339165945]",[0.44678925 0.67465308 0.87307322 1.0537451  1.22201917 1.38091726],$r$,dfa (short)
Trace,14.0,[ 5  9 13 17 21],"[0.36694047444853933, 0.5645740465562177, 0.6704373265650384, 0.777430017623031, 0.881251234646535]",[0.37756483 0.53696297 0.66931879 0.78603194 0.89212697],$r$,dfa (short)
Shuffled,14.0,[ 5  9 13 17 21],"[0.3722615778584498, 0.6602227463615437, 0.780263659955306, 0.8824309392292685, 1.044869072016976]",[0.39621571 0.59412576 0.76551246 0.9209876  1.06538495],$r$,dfa (short)
Trace,15.0,[ 5  9 13 17 21],"[0.4673650959321995, 0.6731671231342153, 0.7425504917732493, 0.7608323308535351, 0.809442144569021]",[0.49740284 0.6180832  0.70805352 0.78184734 0.84535024],$r$,dfa (short)
Shuffled,15.0,[ 5  9 13 17 21],"[0.5449333193959085, 0.7247543942060912, 0.8410200711414967, 0.9521532564152365, 1.0337277711705417]",[0.54970386 0.71443433 0.84173934 0.94870435 1.04244705],$r$,dfa (short)
Trace,16.0,[ 5  9 13 17 21 25],"[0.3482832790782038, 0.6395496751079142, 0.8168822664694555, 0.9093834324789589, 0.9883414542429227, 1.016412960433592]",[0.39073268 0.57640085 0.73511543 0.8778409  1.0095213  1.1329205 ],$r$,dfa (short)
Shuffled,16.0,[ 5  9 13 17 21 25],"[0.452407276030784, 0.6118224966605976, 0.7767709130121794, 0.9583545422010843, 1.0804019085292471, 1.145443389395706]",[0.44416726 0.63300428 0.79006523 0.92871876 1.05486497 1.17175261],$r$,dfa (short)
Trace,19.0,[ 5  9 13 17 21 25],"[0.44970602116238656, 0.5469270301001865, 0.6023348549608701, 0.6399336277940724, 0.6605517828886425, 0.7177555625735782]",[0.45634559 0.53676444 0.59413188 0.6398147  0.67825858 0.71171234],$r$,dfa (short)
Shuffled,19.0,[ 5  9 13 17 21 25],"[0.46054919841927255, 0.6984697738643625, 0.8533963240133704, 0.9396732086260479, 1.011200311520093, 1.0539377874568183]",[0.49028319 0.6630978  0.80096604 0.91930938 1.02471499 1.12072733],$r$,dfa (short)
Trace,20.0,[ 5  9 13],"[0.377112158483925, 0.5771440396380295, 0.599155613991944]",[0.39073347 0.5263105  0.63412042],$r$,dfa (short)
Shuffled,20.0,[ 5  9 13],"[0.47353089579940744, 0.6729450757388402, 0.7299332225197712]",[0.48381789 0.63639504 0.75544414],$r$,dfa (short)
Trace,21.0,[ 5  9 13],"[0.4017434362159279, 0.5228239897241398, 0.5467871055327387]",[0.40928932 0.49814511 0.56329549],$r$,dfa (short)
Shuffled,21.0,[ 5  9 13],"[0.4684173810757074, 0.6571348585961783, 0.6874529106264342]",[0.48068381 0.61444515 0.71645324],$r$,dfa (short)
Trace,22.0,[ 5  9 13 17],"[0.46250680581465464, 0.7344879410912841, 0.7585198793015722, 0.7747807820541172]",[0.49856967 0.63961975 0.74749843 0.83751115],$r$,dfa (short)
Shuffled,22.0,[ 5  9 13 17],"[0.4441279968492177, 0.8030821653618637, 0.8986239779573598, 0.9667404800047457]",[0.47949586 0.69811715 0.88306436 1.04821535],$r$,dfa (short)
Trace,24.0,[ 5  9 13 17 21 25],"[0.41243285974690397, 0.6652003591579789, 0.7935239010367995, 0.8685246024319089, 0.9122546287739259, 0.9470723459849039]",[0.45205507 0.60933081 0.7344644  0.84168189 0.93704695 1.02381747],$r$,dfa (short)
