dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.34191217065712387,-1.263302002682731,0.0440003010008986,$r$,dfa (short)
Shuffled,1.0,0.5002590811640445,-1.6727069174945928,0.01641906380466531,$r$,dfa (short)
Trace,2.0,0.3816378183098813,-1.2702741669201678,0.04229882602019169,$r$,dfa (short)
Shuffled,2.0,0.5325963403325839,-1.6488747488720037,0.02305509855933422,$r$,dfa (short)
Trace,3.0,0.12593336732811386,-1.3384392683877548,0.03038080299378174,$r$,dfa (short)
Shuffled,3.0,0.8541023516664598,-2.7382040006530577,0.04350866825770773,$r$,dfa (short)
Trace,4.0,0.3882177720246455,-1.3569041599427627,0.04002634106686581,$r$,dfa (short)
Shuffled,4.0,0.47774815050278674,-1.5447145909426636,0.07111850111947612,$r$,dfa (short)
Trace,5.0,0.3161120798267915,-1.1996216228233147,0.042436660056626274,$r$,dfa (short)
Shuffled,5.0,0.42894856738001513,-1.2738872936954568,0.005262367034198175,$r$,dfa (short)
Trace,6.0,0.19471511035120023,-1.0020985573855787,0.06193364406467944,$r$,dfa (short)
Shuffled,6.0,0.45807709691835036,-1.4742995977712685,0.05874273430519323,$r$,dfa (short)
Trace,7.0,0.3597076049390856,-1.1875073245491594,0.049111521402573466,$r$,dfa (short)
Shuffled,7.0,0.5274976897617356,-1.5278428853108772,0.05372780936414185,$r$,dfa (short)
Trace,8.0,0.350085238688891,-1.2438250747723076,0.08099401087287152,$r$,dfa (short)
Shuffled,8.0,0.39195656710958615,-1.3793811783246839,0.04293892470194915,$r$,dfa (short)
Trace,9.0,0.31343130535248037,-1.1028938824046515,0.049907327545641034,$r$,dfa (short)
Shuffled,9.0,0.39523329489361764,-1.330074583690138,0.02012405948382723,$r$,dfa (short)
Trace,10.0,0.3549989377618735,-1.1631002901793794,0.06882900442139903,$r$,dfa (short)
Shuffled,10.0,0.624937271747949,-1.7455912901434123,0.07147413949009446,$r$,dfa (short)
Trace,11.0,0.34110583295999997,-1.2003058051871327,0.07014903371254776,$r$,dfa (short)
Shuffled,11.0,0.5142141343621404,-1.6040556841799984,0.03086593537055519,$r$,dfa (short)
Trace,12.0,0.430787431047266,-1.4684718245156279,0.056641321031368236,$r$,dfa (short)
Shuffled,12.0,0.6122062281184416,-1.8083741211486528,0.058341147637556066,$r$,dfa (short)
Trace,13.0,0.3985198642820266,-1.404607690191564,0.0453297150594756,$r$,dfa (short)
Shuffled,13.0,0.526586483815483,-1.5643861832013122,0.04046698068202772,$r$,dfa (short)
Trace,14.0,0.341553798990661,-1.2977052348532436,0.019079894737504023,$r$,dfa (short)
Shuffled,14.0,0.3448240246785792,-1.1659094505763103,0.028133427968597,$r$,dfa (short)
Trace,15.0,0.3310524959020742,-1.1582843935343687,0.02545715075534641,$r$,dfa (short)
Shuffled,15.0,0.5364787177489193,-1.6937334842627414,0.047410435793882585,$r$,dfa (short)
Trace,16.0,0.23156540286338734,-0.9346785831560982,0.027145844002441147,$r$,dfa (short)
Shuffled,16.0,0.3294980602905749,-1.1082676643983422,0.023456971605199495,$r$,dfa (short)
Trace,17.0,0.2215395677073003,-0.9174327994994993,0.037577017450748915,$r$,dfa (short)
Shuffled,17.0,0.46720164253350854,-1.474487084712639,0.03471085320913333,$r$,dfa (short)
Trace,18.0,0.15698470181180366,-0.8345811934571172,0.04410319818259171,$r$,dfa (short)
Shuffled,18.0,0.5138747019793768,-1.4937427189279036,0.008776786906808396,$r$,dfa (short)
Trace,19.0,0.40495126365811923,-1.3478754971032987,0.025752661234641042,$r$,dfa (short)
Shuffled,19.0,0.5659535785482958,-1.7119055034939397,0.018947260396191143,$r$,dfa (short)
Trace,20.0,0.3003702737619128,-1.098896086263664,0.04679248410354458,$r$,dfa (short)
Shuffled,20.0,0.5915118434765496,-1.8202998835028437,0.014061170572590646,$r$,dfa (short)
