dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  9 13 17 21 25 29 33],"[0.48163116898347796, 0.6499206957141613, 0.7292896872804149, 0.7688746168210655, 0.7766862286151898, 0.7844166142572913, 0.7861954313239061, 0.7869111708021005]","[0.53313906 0.61568869 0.67371263 0.71946377 0.75767872 0.790734
 0.8200065  0.84637156]",$r$,dfa (short)
Shuffled,1.0,[ 5  9 13 17 21 25 29 33],"[0.4788774417942829, 0.6445567740315321, 0.7711616623415355, 0.8822968742128675, 0.9495917498443324, 1.012490777858253, 1.07800018364729, 1.1381749890273483]","[0.49015181 0.64069014 0.75756047 0.85606002 0.94258449 1.02052389
 1.09192823 1.15814751]",$r$,dfa (short)
Trace,2.0,[ 5  9 13 17 21 25 29 33],"[0.5175224479944371, 0.6454871082325941, 0.6836485992650214, 0.6942593596317447, 0.7072839309899799, 0.7120586205681654, 0.7027935676048013, 0.7078339976759981]","[0.55995207 0.61137086 0.64591319 0.6723377  0.693911   0.7122316
 0.72820783 0.74240796]",$r$,dfa (short)
Shuffled,2.0,[ 5  9 13 17 21 25 29 33],"[0.47836990301017934, 0.6791490155430593, 0.8402823754365688, 0.996514853757175, 1.111176922668067, 1.204467449158546, 1.324772577087343, 1.439962201429476]","[0.48207624 0.67740562 0.83805394 0.97880659 1.10613178 1.22356906
 1.33331283 1.4368382 ]",$r$,dfa (short)
Trace,3.0,[ 5  9 13 17 21 25 29 33],"[0.443736058009841, 0.6651186222651663, 0.78239494929247, 0.8204103999472355, 0.8601227744157438, 0.9050477181141077, 0.9378405047923434, 0.9734576786186082]","[0.49270027 0.6184699  0.71299844 0.79095409 0.85831509 0.91819398
 0.97244685 1.02228201]",$r$,dfa (short)
Shuffled,3.0,[ 5  9 13 17 21 25 29 33],"[0.4914837131988836, 0.6998833128024545, 0.8246014299430396, 0.9598520134595486, 1.05050116603516, 1.1276584299289554, 1.143196795602735, 1.1324786604016432]","[0.52094039 0.68240273 0.80796983 0.91392155 1.00707363 1.0910422
 1.16801557 1.23943574]",$r$,dfa (short)
Trace,4.0,[ 5  9 13 17 21 25 29 33],"[0.44506636845674935, 0.5862107268104023, 0.7356974329659678, 0.8526636395501832, 0.9272297786621622, 0.9857274206603068, 0.9899516599435848, 0.9840528539431649]","[0.46189427 0.60166947 0.70988427 0.80091964 0.88077513 0.95262591
 1.01838979 1.07932846]",$r$,dfa (short)
Shuffled,4.0,[ 5  9 13 17 21 25 29 33],"[0.4229610729947689, 0.6429273544292422, 0.8137981097564765, 0.9306636713355535, 1.0332254596557122, 1.1274237232552087, 1.1576039307069632, 1.147739425115705]","[0.45601318 0.62760839 0.7664218  0.88669707 0.99458511 1.09342118
 1.18525832 1.27146848]",$r$,dfa (short)
Trace,5.0,[ 5  9 13 17 21 25 29 33],"[0.3563995964950407, 0.5211048388151501, 0.6027140727465047, 0.6698934479717874, 0.7187463322968696, 0.7638185111463195, 0.8049697305937665, 0.851129812803482]","[0.3803952  0.49276718 0.57938132 0.65202849 0.7156106  0.77271553
 0.82490339 0.87319893]",$r$,dfa (short)
Shuffled,5.0,[ 5  9 13 17 21 25 29 33],"[0.3489381883849051, 0.5325367480981151, 0.7149901648993997, 0.8180417956635151, 0.9077205797427715, 1.0389543167462858, 1.1227809808965936, 1.190647216768092]","[0.36220143 0.53040822 0.6733622  0.80141133 0.91920043 1.02931777
 1.13339093 1.23252686]",$r$,dfa (short)
Trace,6.0,[ 5  9 13 17 21 25 29 33],"[0.49776009075934574, 0.5999129182440521, 0.697041601764038, 0.7196271704010602, 0.724750601043705, 0.7269225768115317, 0.7264387457203655, 0.729239371710322]","[0.53168519 0.59754891 0.64284115 0.67803423 0.70710685 0.73203128
 0.75393949 0.77354557]",$r$,dfa (short)
Shuffled,6.0,[ 5  9 13 17 21 25 29 33],"[0.48012922535088093, 0.5963889238327366, 0.6723993255519324, 0.7215851949323441, 0.7350158645918455, 0.738174599271355, 0.745668477815384, 0.7474215252438067]","[0.51125593 0.5860737  0.63835099 0.67940729 0.71359782 0.7431006
 0.76917428 0.79261736]",$r$,dfa (short)
Trace,7.0,[ 5  9 13 17 21 25 29 33],"[0.501648258443812, 0.6759672098927229, 0.7887207364679608, 0.8063517448143463, 0.8302658456745591, 0.8605712965743328, 0.8666635034520245, 0.8702276437831664]","[0.54986333 0.64761025 0.71741236 0.77303639 0.81987116 0.86064413
 0.89694635 0.92979496]",$r$,dfa (short)
Shuffled,7.0,[ 5  9 13 17 21 25 29 33],"[0.4943567355913924, 0.6582934926179423, 0.800937628822987, 0.9123092061606486, 0.9672966760392878, 1.0160085814260318, 1.0396112798547208, 1.057757894773249]","[0.51806012 0.66027977 0.76848354 0.85844996 0.9366719  1.00655266
 1.07013242 1.12874511]",$r$,dfa (short)
Trace,8.0,[ 5  9 13 17 21 25 29 33],"[0.41201716777139413, 0.6306333127759399, 0.6959365913933347, 0.7215469181528117, 0.7678125154198288, 0.775996804366179, 0.7849487753957249, 0.8105267418686172]","[0.46915481 0.56701474 0.63836392 0.69601697 0.74507296 0.78814247
 0.82676201 0.86192112]",$r$,dfa (short)
Shuffled,8.0,[ 5  9 13 17 21 25 29 33],"[0.3849434132443973, 0.6129225858861476, 0.8113224964293518, 0.939480542669579, 1.0147175409865834, 1.0895465666173942, 1.158604361833312, 1.2284463437058926]","[0.41897862 0.59701055 0.74506566 0.87575754 0.99465252 1.10481534
 1.20815518 1.30596049]",$r$,dfa (short)
Trace,9.0,[ 5  9 13 17 21 25 29 33],"[0.4394014837615098, 0.5604906549558283, 0.6447302154699188, 0.7663383951815192, 0.8375711193882559, 0.8693516006993754, 0.8808935513754407, 0.8834691000452622]","[0.44836481 0.56580635 0.65445088 0.72776255 0.79124725 0.84777832
 0.89907234 0.94624849]",$r$,dfa (short)
Shuffled,9.0,[ 5  9 13 17 21 25 29 33],"[0.4717649592089563, 0.6032823732608089, 0.7415073542791042, 0.8682419534346316, 0.9574489485794629, 1.0350906792222465, 1.1154817216241897, 1.1843497904975864]","[0.46386262 0.6219333  0.74716742 0.85416562 0.94913057 1.03538704
 1.11496326 1.18920459]",$r$,dfa (short)
