dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  9 13 17 21 25 29 33],"[0.4667933060374187, 0.6678216579822337, 0.7726509353207518, 0.8102712410402362, 0.8675079866994818, 0.9114861855282573, 0.9356925512085309, 0.9676834444780934]","[0.50740026 0.62912966 0.71972316 0.79394083 0.85775176 0.91424681
 0.96526134 1.01198598]",$r$,dfa (short)
Shuffled,1.0,[ 5  9 13 17 21 25 29 33],"[0.4672844499789308, 0.7059500705410401, 0.8389584664708036, 0.9330790251917765, 1.0004949352293975, 1.078144329930392, 1.184093397506351, 1.2829590988053523]","[0.49547325 0.66597413 0.80132525 0.91712206 1.02000017 1.11352038
 1.19985674 1.28045236]",$r$,dfa (short)
Trace,2.0,[ 5  9 13 17 21 25 29 33],"[0.40259492205437863, 0.6669544066783574, 0.8348503968019316, 0.8530435786901442, 0.8503178957253805, 0.8558499825026034, 0.8562765283763596, 0.8594633860779759]","[0.48935587 0.60596506 0.69265723 0.76362897 0.82461674 0.87858926
 0.92730853 0.97191718]",$r$,dfa (short)
Shuffled,2.0,[ 5  9 13 17 21 25 29 33],"[0.4620415049989882, 0.6951099106934047, 0.8560846804587442, 1.0470231374857215, 1.244619565214555, 1.430498617732747, 1.5955583679646623, 1.6930117522862866]","[0.45542407 0.68715226 0.88881206 1.07235679 1.24325221 1.40458425
 1.55831343 1.70578447]",$r$,dfa (short)
Trace,3.0,[ 5  9 13 17 21 25 29 33],"[0.5290464711470159, 0.651311238851004, 0.7207645160333409, 0.7602701966215473, 0.7678833015475351, 0.7861854597640098, 0.8079579941100231, 0.8110833466807591]","[0.55820864 0.63485142 0.68806323 0.72967551 0.76421755 0.79394643
 0.82016294 0.84369044]",$r$,dfa (short)
Shuffled,3.0,[ 5  9 13 17 21 25 29 33],"[0.45623547307077156, 0.6959962221471891, 0.7637169564749317, 0.8638345019853894, 0.9649922070685666, 1.0493335694655643, 1.1406873383892544, 1.2134108118618534]","[0.47856725 0.63975096 0.76714991 0.87582486 0.97216204 1.05958017
 1.14016267 1.21529032]",$r$,dfa (short)
Trace,4.0,[ 5  9 13 17 21 25 29 33],"[0.48113512758827603, 0.6323268033569625, 0.679200671341129, 0.6946846742138136, 0.7252842242011435, 0.7401456382936054, 0.7402090280906194, 0.7447212924656572]","[0.52260953 0.59298834 0.64175993 0.67985228 0.71144262 0.73861046
 0.76255328 0.78402855]",$r$,dfa (short)
Shuffled,4.0,[ 5  9 13 17 21 25 29 33],"[0.3949597127371954, 0.6584821713809961, 0.8156204722166781, 0.9299639696578953, 1.0041530295728183, 1.0743499047064435, 1.1413923353145679, 1.2177538559159582]","[0.43860754 0.61259535 0.75500199 0.87936704 0.99159132 1.09489527
 1.1912713  1.28205642]",$r$,dfa (short)
Trace,5.0,[ 5  9 13 17 21 25 29 33],"[0.4686717956544084, 0.597035592459017, 0.6760710709089214, 0.7174604603357619, 0.7229425010599261, 0.7316321614684816, 0.7437621625509027, 0.7331030760677865]","[0.50606434 0.58051656 0.63256693 0.67345998 0.70752398 0.73692411
 0.76291192 0.78628154]",$r$,dfa (short)
Shuffled,5.0,[ 5  9 13 17 21 25 29 33],"[0.4330589139459829, 0.6674557268633629, 0.8889973957134459, 1.0246676048143468, 1.0913960825319389, 1.0855124691896902, 1.0818220448101104, 1.1007992989078437]","[0.49170106 0.65807056 0.78969003 0.90203503 1.00167249 1.09211964
 1.17552077 1.25329751]",$r$,dfa (short)
Trace,6.0,[ 5  9 13 17 21 25 29 33],"[0.3406006034541701, 0.4175974170457334, 0.47256036360492026, 0.5918106704537046, 0.6515430763672356, 0.7042825972402776, 0.8054047904255267, 0.8653353100445201]","[0.31882856 0.42914023 0.51680785 0.5918661  0.65858831 0.71926903
 0.77530988 0.8276416 ]",$r$,dfa (short)
Shuffled,6.0,[ 5  9 13 17 21 25 29 33],"[0.28829251777941417, 0.4225993683157158, 0.5953149614435723, 0.7316255387211705, 0.8381754138044115, 0.9666941712798905, 1.0844776519439558, 1.1862365895824054]","[0.28281529 0.44269297 0.58593039 0.71888718 0.84453816 0.96459013
 1.08014119 1.19195243]",$r$,dfa (short)
Trace,7.0,[ 5  9 13 17 21 25 29 33],"[0.3149046825387518, 0.4748884626120768, 0.5441996719179509, 0.6228739521254983, 0.6467884670205286, 0.6381736436841803, 0.6217251606888831, 0.6084329967739817]","[0.36216992 0.44424127 0.50479439 0.55411499 0.59633441 0.63358169
 0.66711637 0.69775305]",$r$,dfa (short)
Shuffled,7.0,[ 5  9 13 17 21 25 29 33],"[0.3308523975688883, 0.49826809000599215, 0.6384735834690284, 0.7510114322380127, 0.7882527270735404, 0.8197273372782082, 0.8512666810317164, 0.8792811313008433]","[0.36175546 0.48964629 0.59173828 0.67940848 0.75751883 0.82868638
 0.89451284 0.95606349]",$r$,dfa (short)
