dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,"[  5   9  13  17  21  25  29  33  37  41  45  49  53  57  61  65  69  73
  77  81  85  89  93  97 101 105 109 113 117 121 125]","[0.49272802418324946, 0.6432403920966865, 0.7084053205209141, 0.7567633585478435, 0.7944735632546278, 0.8298183239178565, 0.854138637023294, 0.8625964791034727, 0.8680575364506492, 0.8708420167035356, 0.8739415248120028, 0.8782383801105459, 0.8831279798529809, 0.8871964880240468, 0.8921582516743021, 0.8972078662418846, 0.902036442376257, 0.9074646950559634, 0.9130479923080951, 0.9179285136475617, 0.9224597894249905, 0.9278962031774587, 0.9320039288512983, 0.9361537347939431, 0.9405114760746948, 0.944031605819361, 0.9478992857528828, 0.9517656565428098, 0.9550903383356177, 0.9584025227403459, 0.9614738736885035]","[0.5986297  0.65680804 0.6960463  0.72614255 0.75076256 0.77170409
 0.7899904  0.8062626  0.82095036 0.83435648 0.84670281 0.858157
 0.86884899 0.87888165 0.88833789 0.89728554 0.90578087 0.91387108
 0.92159617 0.92899036 0.93608315 0.94290019 0.9494639  0.95579399
 0.96190793 0.96782123 0.97354776 0.97909995 0.98448901 0.98972507
 0.99481733]",$r$,dfa (short)
Shuffled,1.0,"[  5   9  13  17  21  25  29  33  37  41  45  49  53  57  61  65  69  73
  77  81  85  89  93  97 101 105 109 113 117 121 125]","[0.48236328550013796, 0.7213598280809322, 0.8805448073237534, 1.010305860712703, 1.1417007260628482, 1.2613310382908018, 1.3508454626704547, 1.42496616119995, 1.4919309656681983, 1.5563901404894622, 1.6197552393208463, 1.6824126175577956, 1.7456726201357684, 1.8061959641190881, 1.8663923483868794, 1.93008728519344, 1.9942719263796844, 2.059442386918717, 2.128798272504389, 2.1954142311155236, 2.257587627721523, 2.3202979570858333, 2.3814025976905286, 2.4408586819252376, 2.502227704097918, 2.562034490017532, 2.619749772889202, 2.6771159458328917, 2.732439298865126, 2.7839690518578206, 2.835671630627838]","[0.52122204 0.70789406 0.85731456 0.98586194 1.10055046 1.2051613
 1.30201141 1.39264325 1.47814553 1.55932088 1.63678136 1.71100646
 1.78238019 1.85121578 1.91777277 1.98226905 2.0448897  2.10579352
 2.165118   2.2229831  2.27949427 2.33474476 2.38881755 2.44178685
 2.49371934 2.54467522 2.59470905 2.64387047 2.69220478 2.7397535
 2.78655475]",$r$,dfa (short)
Trace,2.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89 93 97],"[0.502595238103942, 0.6289412838475382, 0.7218050027991754, 0.7688297751465103, 0.8050472457522961, 0.8452873025961742, 0.8657756389133304, 0.8806264696909271, 0.8979693473323854, 0.9089238708420377, 0.9192166428863153, 0.9339966397274891, 0.9440632666803921, 0.9524283138453538, 0.9657953939711978, 0.9748625213515084, 0.9817397523925371, 0.9904054646419793, 0.9968563231085551, 1.002208618385678, 1.0109401820942017, 1.0179507048421448, 1.023855984076825, 1.032266028626784]","[0.56888934 0.64441577 0.69668366 0.73746974 0.77127087 0.80032398
 0.82591646 0.84886227 0.86971117 0.88885323 0.90657595 0.92309775
 0.93858878 0.95318433 0.96699388 0.98010737 0.99259967 1.00453376
 1.01596324 1.02693406 1.03748598 1.04765362 1.05746733 1.06695391]",$r$,dfa (short)
Shuffled,2.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81 85 89 93 97],"[0.4566583715813571, 0.6866499744435929, 0.8473884448814305, 0.9942921176110576, 1.0884955635193228, 1.1655284692927868, 1.247690769371629, 1.322611793523321, 1.383361450639671, 1.4313973422772444, 1.4706519925356352, 1.504799412444766, 1.537920996493528, 1.568457605301084, 1.5958760585119243, 1.6262725054669747, 1.6584426275548558, 1.6848436541593619, 1.710279196896851, 1.7394464440462172, 1.7686889315740175, 1.7973142936779027, 1.8245554680499276, 1.847887982846112]","[0.55060109 0.70802024 0.82864322 0.92941579 1.01735026 1.0961367
 1.16799399 1.23437658 1.29629754 1.35449517 1.40952674 1.4618248
 1.5117329  1.5595291  1.60544219 1.64966299 1.69235257 1.73364836
 1.77366869 1.81251629 1.85028101 1.88704196 1.92286921 1.95782515]",$r$,dfa (short)
Trace,3.0,"[  5   9  13  17  21  25  29  33  37  41  45  49  53  57  61  65  69  73
  77  81  85  89  93  97 101 105 109 113 117 121]","[0.4299158380504144, 0.5916048101575277, 0.6997302031284354, 0.7703269545760197, 0.8211221689524804, 0.8613866082334384, 0.8988058905350469, 0.9280390177573932, 0.9567934892100681, 0.9810420197274442, 1.0007806273288902, 1.0231266884721817, 1.0430237343968953, 1.061342746651524, 1.0815558499416467, 1.1005903531866414, 1.1189714355387117, 1.137098758657837, 1.1527490368113589, 1.164684602637303, 1.1743987377569938, 1.1824916873219444, 1.1909039362967755, 1.1971470764237109, 1.2013934468514875, 1.205829881608475, 1.2099370427015759, 1.2123319669967918, 1.2149578440868065, 1.2177752668946944]","[0.51289252 0.60888763 0.67787838 0.73309165 0.77973113 0.82043992
 0.85676407 0.88969422 0.91990716 0.94788785 0.97399688 0.9985104
 1.02164508 1.04357434 1.06443935 1.08435678 1.10342421 1.1217242
 1.13932727 1.1562942  1.17267776 1.18852409 1.20387384 1.21876294
 1.23322339 1.24728381 1.26096989 1.2743048  1.28730953 1.30000311]",$r$,dfa (short)
Shuffled,3.0,"[  5   9  13  17  21  25  29  33  37  41  45  49  53  57  61  65  69  73
  77  81  85  89  93  97 101 105 109 113 117 121]","[0.39743683742904534, 0.6403800833485054, 0.8326053385664803, 0.9677239458259527, 1.073976867337835, 1.183997152063029, 1.2886539771297514, 1.3830907772552812, 1.4731380605282693, 1.5470611807280241, 1.616053586655093, 1.688232869101244, 1.755505724981927, 1.8202757795606606, 1.8863915450318223, 1.9492559695685399, 2.005519465574238, 2.0605751685047355, 2.1095745803262456, 2.149860135698845, 2.187329526426064, 2.2184442993607876, 2.241637460106968, 2.261693691528914, 2.2775020808090316, 2.288891958274265, 2.30007229005835, 2.3101084320749243, 2.318184303478902, 2.328228714605291]","[0.4880626  0.66451759 0.80604166 0.92795902 1.0368427  1.13624
 1.22832636 1.31455111 1.39593781 1.47324149 1.54703817 1.61777928
 1.68582651 1.751475   1.81496934 1.87651498 1.93628644 1.99443354
 2.05108599 2.10635701 2.16034614 2.21314143 2.26482122 2.31545562
 2.36510763 2.41383412 2.46168665 2.50871214 2.55495344 2.60044977]",$r$,dfa (short)
Trace,4.0,"[  5   9  13  17  21  25  29  33  37  41  45  49  53  57  61  65  69  73
  77  81  85  89  93  97 101 105 109 113 117 121 125 129]","[0.4579374525871013, 0.6277153887188044, 0.7333708568579027, 0.8060374886902556, 0.8535079780548447, 0.8949026808765593, 0.9175367170582033, 0.9286722627121495, 0.9411345885079176, 0.9483582580491733, 0.9531622943145011, 0.9618931759800319, 0.9686479134180875, 0.9740605687791135, 0.9832110128782291, 0.9901139161324762, 0.9950365673342213, 1.0015913164700379, 1.0074823018501309, 1.0111516916055576, 1.0164488201381836, 1.0222041984196413, 1.025885802485364, 1.0306815171053185, 1.035753829111306, 1.0391285472933058, 1.0440447549052918, 1.04924838364509, 1.052873615140004, 1.057921785264907, 1.0623167066920443, 1.0652201199295435]","[0.59249585 0.66479709 0.71445017 0.75299747 0.78481964 0.81208659
 0.83604302 0.85747376 0.87690769 0.8947193  0.91118409 0.92651108
 0.94086281 0.95436837 0.96713209 0.9792396  0.99076204 1.00175929
 1.01228218 1.0223743  1.03207329 1.04141194 1.05041897 1.05911967
 1.06753649 1.07568939 1.08359625 1.09127312 1.09873449 1.10599348
 1.11306201 1.11995093]",$r$,dfa (short)
Shuffled,4.0,"[  5   9  13  17  21  25  29  33  37  41  45  49  53  57  61  65  69  73
  77  81  85  89  93  97 101 105 109 113 117 121 125 129]","[0.4280741941789625, 0.6826844595200127, 0.8594246933401214, 0.9927064277903543, 1.1010507209161156, 1.2011081150303906, 1.2909186814969476, 1.3738171555938619, 1.4481557547068917, 1.5143102899957699, 1.5751137716115915, 1.6255578164928308, 1.6702470562184324, 1.7118118598529284, 1.7465411613444382, 1.7770460533410537, 1.8070523945712458, 1.832737637512811, 1.8557774991821483, 1.8823042645554573, 1.9071995755804028, 1.9294224268789388, 1.9513406393652013, 1.9697544423608426, 1.9866857752345366, 2.0057722603003207, 2.0245717079812175, 2.0428530617196685, 2.0629620314174115, 2.0816000455746004, 2.0983919237559396, 2.114543186595546]","[0.55838959 0.72148132 0.84693046 0.95200482 1.04387155 1.12631021
 1.20159723 1.27122681 1.33624093 1.39739972 1.45527745 1.51032022
 1.56288258 1.61325174 1.66166411 1.708317   1.75337707 1.79698656
 1.839268   1.88032784 1.92025921 1.95914411 1.99705526 2.03405739
 2.07020849 2.10556073 2.14016121 2.17405267 2.20727397 2.23986063
 2.27184517 2.30325746]",$r$,dfa (short)
Trace,5.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81],"[0.46016159702163467, 0.6351205021626046, 0.7091186051897485, 0.7506870468754294, 0.7762505097628422, 0.7982320061143262, 0.8206089198373697, 0.835258261871335, 0.8518275203466885, 0.8696776868502533, 0.8781735988480512, 0.8891489279592667, 0.9001964432900234, 0.9060624355578247, 0.9132193473384158, 0.9221414880061645, 0.9276394139131608, 0.9335973424356552, 0.9421954413006827, 0.9487377402552779]","[0.54284464 0.61593388 0.6665828  0.70614091 0.7389465  0.76715924
 0.79202277 0.81432372 0.83459367 0.85320987 0.87045047 0.88652686
 0.90160375 0.91581213 0.92925803 0.94202857 0.95419626 0.96582217
 0.97695821 0.98764894]",$r$,dfa (short)
Shuffled,5.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77 81],"[0.4568003252224985, 0.6774190869631105, 0.8292451138282233, 0.926659907581019, 1.0230236181118666, 1.11241354760793, 1.178098716529056, 1.2284248675249574, 1.2765368379085316, 1.3206457579449007, 1.3590680107908555, 1.3953029163731592, 1.430135445258295, 1.460206238680911, 1.4864294839813126, 1.5122904673077888, 1.5351324508313509, 1.5563554619445228, 1.5805846660450051, 1.603653166913354]","[0.53264662 0.68080661 0.79378716 0.8878691  0.96976401 1.04299429
 1.10967356 1.17118493 1.22849033 1.28228994 1.33311163 1.38136473
 1.42737401 1.47140217 1.51366512 1.55434286 1.59358722 1.63152763
 1.6682755  1.70392748]",$r$,dfa (short)
