dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,1.0,[ 5  9 13 17 21 25 29],"[0.4590095759057291, 0.658040740631331, 0.8139813517909306, 0.907688163475106, 0.9573941467125767, 0.9855503424861075, 0.9638811026622184]","[0.49572191 0.64138092 0.75354275 0.84755644 0.9297982  1.00363248
 1.07108669]",$r$,dfa (short)
Shuffled,1.0,[ 5  9 13 17 21 25 29],"[0.4172542515630774, 0.6631090337892349, 0.7834134691044725, 0.889197808746202, 0.9798741950189006, 1.0501726500595217, 1.1107240969016945]","[0.4485051  0.61664967 0.75256184 0.87025934 0.97579167 1.07243765
 1.16221484]",$r$,dfa (short)
Trace,2.0,[ 5  9 13 17 21 25 29],"[0.5057176039301264, 0.6930258366841133, 0.8002741348887502, 0.8635632437390525, 0.8748334326445344, 0.8964856128872258, 0.9119685371264861]","[0.54597824 0.66208941 0.74697485 0.81569021 0.87423909 0.92569977
 0.97188614]",$r$,dfa (short)
Shuffled,2.0,[ 5  9 13 17 21 25 29],"[0.5143686058397725, 0.772197285634203, 0.8959895517514177, 0.9733154671328877, 1.0562508368491663, 1.1387983202008027, 1.2087752228727635]","[0.54881565 0.7209987  0.85521278 0.96863657 1.06847519 1.15855621
 1.24119827]",$r$,dfa (short)
Trace,3.0,[ 5  9 13 17 21 25 29],"[0.48607113598706436, 0.6730478821686899, 0.7596244573807317, 0.814249790823286, 0.8562960710666838, 0.8830645396379599, 0.906966028575089]","[0.52006241 0.63649742 0.72225131 0.79201451 0.85167924 0.90427904
 0.95160714]",$r$,dfa (short)
Shuffled,3.0,[ 5  9 13 17 21 25 29],"[0.4059693900262124, 0.723081878667046, 0.9067681748480171, 0.9633032595207516, 1.0235649906541742, 1.0781558722041045, 1.1225642763910546]","[0.46896266 0.64747316 0.79224463 0.91789494 1.03074906 1.1342414
 1.23048833]",$r$,dfa (short)
Trace,4.0,[ 5  9 13 17 21 25],"[0.5373136013135718, 0.8240547978094295, 0.9384386656276555, 1.0282683991228907, 1.0717242198829775, 1.0848801205727345]",[0.58556326 0.75489996 0.88491968 0.99369142 1.08870434 1.17390387],$r$,dfa (short)
Shuffled,4.0,[ 5  9 13 17 21 25],"[0.5443209716549186, 0.7013200227217953, 0.8400185110301441, 0.9843615724389569, 1.089507874676739, 1.1523778311531554]",[0.53823184 0.71379595 0.85168053 0.96879774 1.0722831  1.16594301],$r$,dfa (short)
Trace,5.0,[ 5  9 13 17 21 25],"[0.5838854943282459, 0.7772993116536218, 0.8906111819251282, 0.9951526841514937, 1.040006209414808, 1.0684933645280819]",[0.6041832  0.75612931 0.87005674 0.9638582  1.04481229 1.1167035 ],$r$,dfa (short)
Shuffled,5.0,[ 5  9 13 17 21 25],"[0.4196640951518755, 0.7594628914809357, 0.9347832896681584, 1.0593544023834591, 1.145018515067765, 1.2020927230081184]",[0.4668227  0.6812439  0.86297219 1.02545037 1.17469941 1.31406929],$r$,dfa (short)
Trace,6.0,[ 5  9 13 17 21 25],"[0.5054622455554667, 0.633807424112383, 0.6900623109575206, 0.7362388168156563, 0.7749049872703861, 0.794321750552064]",[0.52040608 0.61294018 0.67902182 0.73168217 0.77602224 0.81462391],$r$,dfa (short)
Shuffled,6.0,[ 5  9 13 17 21 25],"[0.4659127586664423, 0.637155256960467, 0.7464777521467566, 0.8627575915109564, 0.9765209392849231, 1.090764445412734]",[0.46396336 0.62946858 0.7618356  0.87564778 0.97714653 1.06969487],$r$,dfa (short)
