dataset,lineage_ID,slope,intercept,std_err,variable,kind
Trace,1.0,0.2784308189816512,-1.101262968853692,0.0202257730902372,$r$,dfa (short)
Shuffled,1.0,0.5066279771027061,-1.4802552220245144,0.06557363274445042,$r$,dfa (short)
Trace,2.0,0.5289002048381201,-1.8855710698828836,0.019210138317163002,$r$,dfa (short)
Shuffled,2.0,0.5978077878644542,-1.8384280647458957,0.012821829102632267,$r$,dfa (short)
Trace,3.0,0.2941124163994813,-1.1532756981549166,0.026858014322813314,$r$,dfa (short)
Shuffled,3.0,0.6986862479866088,-1.920890154192783,0.03656963274601319,$r$,dfa (short)
Trace,4.0,0.2335993300301401,-0.9979488921096921,0.04586319066616098,$r$,dfa (short)
Shuffled,4.0,0.5448985868354511,-1.6318177189963239,0.05483275127765289,$r$,dfa (short)
Trace,5.0,0.18900491327155722,-0.9376233419130777,0.02915570563893174,$r$,dfa (short)
Shuffled,5.0,0.3956377770748742,-1.4402480348553386,0.08902471705062437,$r$,dfa (short)
Trace,6.0,0.32804672318536954,-1.1331469884788234,0.04266823673088674,$r$,dfa (short)
Shuffled,6.0,0.5801881895437248,-1.5971497482999037,0.05331953662677704,$r$,dfa (short)
Trace,7.0,0.44411746950498,-1.4461978730787761,0.04951273464069155,$r$,dfa (short)
Shuffled,7.0,0.5292895637746631,-1.5697877867235872,0.025471951870776773,$r$,dfa (short)
Trace,8.0,0.22895089287655862,-1.1897348425368972,0.05543014671289561,$r$,dfa (short)
Shuffled,8.0,0.19681081696985475,-1.0800711107482903,0.02089459100207861,$r$,dfa (short)
Trace,9.0,0.43214832736056485,-1.230696966916405,0.06067269630722263,$r$,dfa (short)
Shuffled,9.0,0.42211166862033045,-1.2890482651622608,0.037231088173337694,$r$,dfa (short)
Trace,10.0,0.3437157542724361,-1.2069956245057165,0.03468543375077581,$r$,dfa (short)
Shuffled,10.0,0.4259369822550739,-1.2856160567342196,0.04467530133330862,$r$,dfa (short)
Trace,11.0,0.5114965537292038,-1.6473253930522824,0.028370423573174496,$r$,dfa (short)
Shuffled,11.0,0.5249156721959076,-1.8565868010315554,0.027849193110803413,$r$,dfa (short)
Trace,12.0,0.4570589757409094,-1.6597765657787227,0.026013227744136124,$r$,dfa (short)
Shuffled,12.0,0.7000643254104616,-2.1164887938575867,0.018274842911157895,$r$,dfa (short)
Trace,13.0,0.38166049140618546,-1.1181366838485016,0.027730518757714543,$r$,dfa (short)
Shuffled,13.0,0.5457433232707432,-1.5311953395972662,0.03742149077062988,$r$,dfa (short)
Trace,14.0,0.1909281193900348,-0.9656611259401338,0.04427863605259024,$r$,dfa (short)
