dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,5.0,[ 5  9 13],"[0.4580197796041964, 0.5635386153006546, 0.732222484076106]",[0.44872882 0.5943613  0.70862504],$r$,dfa (short)
Shuffled,5.0,[ 5  9 13],"[0.5266263039071771, 0.6324173275918804, 0.6820850046228744]",[0.52981442 0.62257639 0.68869731],$r$,dfa (short)
Trace,6.0,[ 5  9 13],"[0.5177919878126167, 0.6817347370778616, 0.7820554452487944]",[0.52059399 0.67224121 0.78883108],$r$,dfa (short)
Shuffled,6.0,[ 5  9 13],"[0.4854094585964621, 0.6049287630516684, 0.6888659545615295]",[0.48599487 0.60303717 0.69019439],$r$,dfa (short)
Trace,11.0,[ 5  9 13],"[0.39247796475200736, 0.6538260299911361, 0.6695434679986075]",[0.41088475 0.58041803 0.7204359 ],$r$,dfa (short)
Shuffled,11.0,[ 5  9 13],"[0.3932874623878053, 0.6491137195018188, 0.83945279476879]",[0.39673823 0.63454501 0.85125698],$r$,dfa (short)
Trace,15.0,[ 5  9 13],"[0.48697201664385775, 0.6360937959080588, 0.6854783381803727]",[0.49399694 0.61285565 0.70135266],$r$,dfa (short)
Shuffled,15.0,[ 5  9 13],"[0.49826786456935784, 0.6549378337905783, 0.7663121884934355]",[0.49935039 0.6512549  0.76897512],$r$,dfa (short)
Trace,16.0,[ 5  9 13],"[0.28974822032662545, 0.49552458480564876, 0.6647382465015771]",[0.29163843 0.48722242 0.67168342],$r$,dfa (short)
Shuffled,16.0,[ 5  9 13],"[0.2908062098986313, 0.4908485014007107, 0.7706973908917161]",[0.28528202 0.5159298  0.74742913],$r$,dfa (short)
Trace,51.0,[ 5  9 13],"[0.49825722665177863, 0.6353644191981906, 0.735760839513021]",[0.4986722  0.63399146 0.73674058],$r$,dfa (short)
Shuffled,51.0,[ 5  9 13],"[0.36335386152455085, 0.5394354635261229, 0.6296881064498743]",[0.36860416 0.51969676 0.64429464],$r$,dfa (short)
Trace,52.0,[ 5  9 13],"[0.5001349919994669, 0.5901832021348687, 0.6848682631960796]",[0.4966398  0.60103669 0.67723381],$r$,dfa (short)
Shuffled,52.0,[ 5  9 13],"[0.5405680145924345, 0.7103351238864649, 0.8406575480951192]",[0.54077065 0.7096437  0.84116131],$r$,dfa (short)
Trace,55.0,[ 5  9 13 17 21],"[0.5140390118428194, 0.6579803835892096, 0.7545613693239275, 0.7952348404575178, 0.8165079509658171]",[0.52877812 0.64212325 0.72507905 0.79228259 0.84957569],$r$,dfa (short)
Shuffled,55.0,[ 5  9 13 17 21],"[0.4106073223720232, 0.7371527295971787, 0.9725480280948406, 1.0671734657373004, 1.106834939023816]",[0.44704204 0.67719878 0.87812418 1.0613906  1.23230269],$r$,dfa (short)
Trace,56.0,[ 5  9 13 17 21],"[0.45581915489849595, 0.6786975011336848, 0.7695668156583612, 0.8457913380852642, 0.8809466144437996]",[0.48138702 0.630225   0.74592075 0.84351283 0.92929499],$r$,dfa (short)
Shuffled,56.0,[ 5  9 13 17 21],"[0.4661167403204295, 0.6749204862746987, 0.8634074875117187, 0.9827607635444426, 1.0696645086244132]",[0.47407258 0.67052288 0.83293443 0.9757306  1.105247  ],$r$,dfa (short)
Trace,59.0,[ 5  9 13 17],"[0.45338550667171035, 0.5547587441930447, 0.588427460425277, 0.6314359342648139]",[0.45995588 0.53781591 0.59309387 0.63697261],$r$,dfa (short)
Shuffled,59.0,[ 5  9 13 17],"[0.4077103340959533, 0.5841428392460741, 0.7370183573228606, 0.8715816831161459]",[0.40696711 0.5862936  0.73673136 0.87030914],$r$,dfa (short)
Trace,60.0,[ 5  9 13 17],"[0.5167691188886938, 0.6447997691329969, 0.6762937358301379, 0.6976815212183851]",[0.53093343 0.61375078 0.67200948 0.71797031],$r$,dfa (short)
Shuffled,60.0,[ 5  9 13 17],"[0.44520244749492294, 0.7385929934687406, 0.871984279370909, 1.023842411096706]",[0.46168987 0.68624054 0.87934643 1.05370194],$r$,dfa (short)
Trace,61.0,[ 5  9 13],"[0.468791112965412, 0.5976045771774796, 0.7073987856885255]",[0.4675724  0.60166043 0.70446152],$r$,dfa (short)
Shuffled,61.0,[ 5  9 13],"[0.468178168346154, 0.7466353723625554, 0.908371969320279]",[0.47519414 0.71832808 0.93022825],$r$,dfa (short)
Trace,62.0,[ 5  9 13],"[0.4397369593331855, 0.5067379441362526, 0.5474055137113762]",[0.44052372 0.50438968 0.54897185],$r$,dfa (short)
Shuffled,62.0,[ 5  9 13],"[0.4057367283047799, 0.6618504378636157, 0.8791627932957943]",[0.40713617 0.65595531 0.88401483],$r$,dfa (short)
Trace,81.0,[ 5  9 13 17 21 25 29],"[0.46439321814063866, 0.6062865754905034, 0.6848590337254011, 0.728165029812437, 0.7740934711650973, 0.803245274331198, 0.8341890507211318]","[0.48423626 0.58600954 0.66029009 0.72035415 0.77148888 0.81640271
 0.8566905 ]",$r$,dfa (short)
Shuffled,81.0,[ 5  9 13 17 21 25 29],"[0.5155337228799713, 0.7062548642516724, 0.86262419028812, 1.0131324214990156, 1.1302837391371194, 1.1940436911299739, 1.2318467148917271]","[0.5240041  0.70863396 0.85591646 0.98233405 1.09492665 1.19748215
 1.29231817]",$r$,dfa (short)
Trace,82.0,[ 5  9 13 17 21 25 29 33],"[0.4788630532587835, 0.6351591825023692, 0.7134875092895259, 0.733080913168294, 0.7681668396312908, 0.7811458686628456, 0.7826343434133485, 0.78894008495356]","[0.52161397 0.60460525 0.6631132  0.70933774 0.74800613 0.78149406
 0.81117972 0.8379402 ]",$r$,dfa (short)
Shuffled,82.0,[ 5  9 13 17 21 25 29 33],"[0.43704840508662196, 0.6872944009074726, 0.8546532743464538, 1.0070127549498629, 1.092231831889064, 1.1346805364119923, 1.1569272232310106, 1.196172263955065]","[0.48320693 0.65954512 0.80125626 0.92349774 1.0327812  1.13262462
 1.22518736 1.31190901]",$r$,dfa (short)
Trace,91.0,[ 5  9 13 17 21 25],"[0.4561461866802158, 0.5631601741556845, 0.6182959070791518, 0.6627130520219195, 0.6833456060242364, 0.6954335013598291]",[0.4698358  0.54885164 0.60490773 0.64938159 0.68670369 0.71910835],$r$,dfa (short)
Shuffled,91.0,[ 5  9 13 17 21 25],"[0.4995840029791939, 0.7804823568132293, 0.9125011482577459, 1.045841536267052, 1.1632598081830232, 1.263440436095308]",[0.52439342 0.72991509 0.89767531 1.0439141  1.17569411 1.29686407],$r$,dfa (short)
Trace,92.0,[ 5  9 13 17 21],"[0.5126327255084653, 0.6481261266127194, 0.7297692465376918, 0.7698309758506428, 0.8024125891391158]",[0.52520257 0.63181495 0.70925631 0.77167604 0.82468778],$r$,dfa (short)
Shuffled,92.0,[ 5  9 13 17 21],"[0.48716799058150245, 0.6391399929318096, 0.8019952707669512, 0.8866614648966707, 0.9495402423805712]",[0.48939807 0.64859247 0.77355278 0.87965361 0.97337897],$r$,dfa (short)
Trace,103.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73],"[0.45709951936445936, 0.59663596027872, 0.6714459251076588, 0.7167504914237169, 0.7552092715783779, 0.7799387884450258, 0.7952901549758132, 0.814204769302064, 0.8276611644451939, 0.8403347466683145, 0.8592864762791818, 0.8717574698044595, 0.8798223698607005, 0.8909933045321511, 0.9038595389590792, 0.9140693726108647, 0.9241903158341426, 0.9346870331326546]","[0.512937   0.58876534 0.64180426 0.68348788 0.7182192  0.74820137
 0.77470818 0.79854799 0.82026858 0.84025968 0.85880923 0.87613652
 0.89241269 0.90777409 0.92233123 0.93617505 0.94938136 0.96201404]",$r$,dfa (short)
Shuffled,103.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73],"[0.47149429957141614, 0.6641833875277543, 0.8166470339077069, 0.9309019307944308, 1.022587010530361, 1.0998403282979645, 1.2000518214185822, 1.2964137995960447, 1.375530467432684, 1.461772366440657, 1.5458289613001526, 1.6129840148818584, 1.6700766137024388, 1.7131703290964337, 1.7414694258918786, 1.7629682616553275, 1.7745919399985741, 1.7839156094156268]","[0.49338425 0.66398617 0.79955106 0.91560766 1.01876833 1.11258328
 1.19922107 1.28012164 1.35629909 1.42849961 1.49729122 1.56311826
 1.62633606 1.68723412 1.74605197 1.80299055 1.85822034 1.91188745]",$r$,dfa (short)
Trace,104.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65],"[0.4253388661914928, 0.6498049051063796, 0.7485799326924126, 0.7981281803266722, 0.8447108802655987, 0.8774559217151374, 0.8987881103807982, 0.9147175897410285, 0.9275165383953993, 0.9298317485923805, 0.9285416705379572, 0.9229623795599651, 0.9149745505972093, 0.9088563849424035, 0.903612017524468, 0.8982542553521999]","[0.5441336  0.6272138  0.68552294 0.73145274 0.76978779 0.80292667
 0.8322582  0.8586648  0.88274502 0.90492513 0.9255203  0.94477072
 0.96286398 0.9799496  0.99614886 1.0115616 ]",$r$,dfa (short)
